system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1983346.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1391950.0,4.430127961777135E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,378085.0,5.4446892627344556E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,222518.0,5.463931736417209E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,152396.0,5.2671904711648114E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,112101.0,4.992799790382936E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,85745.0,4.674906742179875E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,67679.0,4.362608394411435E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,54099.0,4.026182499625241E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,44141.0,3.724958730725378E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,36384.0,3.432306829550514E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,30067.0,3.135212799969564E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,25463.0,2.909155081419583E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,21392.0,2.656329873289154E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,18400.0,2.467829085635018E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,16326.0,2.353144412979424E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,14066.0,2.1670840853480265E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,12549.0,2.060670431388936E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,10964.0,1.907585707069175E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,9752.0,1.7946250797015764E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,8738.0,1.6958657549489554E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
