country,PopChange_2000-2020
Montenegro,144740.93293171754
Serbia,1523270.6650308995
South Sudan,7847830.715597167
Sudan,2.3705789340031102E7
Taiwan,3868064.450180471
Cocos (Keeling) Islands,0.2734664667452521
Christmas Island,1731.7202580949934
Ashmore and Cartier Islands,0.0
Faroe Islands,16627.340810184374
Mayotte,151291.21945761974
Réunion,351600.90906618524
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,721.6472009961585
French Southern and Antarctic Territories,0.0
Denmark,1531447.431449928
The former Yugoslav Republic of Macedonia,358643.33119485015
Croatia,470392.92564381607
Malta,146941.90361976073
San Marino,9446.13326364096
Slovenia,354249.2214072205
Greece,722570.8644480453
Italy,7816404.945643128
Portugal,1220485.5893435176
Spain,1.1424145662486022E7
Bosnia and Herzegovina,517122.9087676896
Andorra,27722.8906626818
Albania,914533.7685502145
Monaco,1152.2732546706975
Netherlands,3797448.3848568355
Luxembourg,308052.5029565743
Liechtenstein,10939.648025024873
France,1.4495172330874784E7
Germany,1.3168852334156934E7
Switzerland,2382257.9348045066
Belgium,2658256.4786662525
Austria,2051922.5980563818
Australia,1695960.2996837143
Palau,5055.762632456449
Canada,6295832.233097064
Canada,364579.06864028843
Canada,72011.59335325862
Mozambique,1.7709337522872567E7
Mauritius,287403.42619450146
Malawi,1.0223311255216397E7
Rwanda,7253793.0901692845
Somalia,9299817.891510874
Zambia,1.0076666975921175E7
Kenya,3.39209341763541E7
Madagascar,1.4592348785893321E7
Seychelles,25959.160821540307
United Republic of Tanzania,3.558647739247926E7
Uganda,2.6715922064685073E7
Zimbabwe,9009330.432736129
Ethiopia,7.718262331038088E7
Eritrea,1665154.3330695361
Djibouti,422742.02319249965
Comoros,271160.1634651731
Burundi,7852839.124309566
Gabon,1043747.2246706999
Equatorial Guinea,1162815.9148991338
Chad,8984533.427817687
Sao Tome and Principe,75447.11293596526
Congo,3233749.2697351584
Democratic Republic of the Congo,4.768511849032304E7
Cameroon,1.2014540789239377E7
Central African Republic,1649200.653456234
Angola,2.2668573065381445E7
Morocco,1.1489138291212589E7
Libya,2110081.988065015
Tunisia,3510335.9037911096
