country,PopChange_2000-2020
Montenegro,294655.22922129853
Serbia,4060335.955303095
South Sudan,1.1208566290656034E7
Sudan,2.8608508642995864E7
Taiwan,5920852.73884246
Cocos (Keeling) Islands,51.43010028381009
Christmas Island,1731.7202580949934
Ashmore and Cartier Islands,0.0
Faroe Islands,19620.264392199988
Mayotte,151291.21945761974
Réunion,519832.57052610244
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,1916.3229332667431
French Southern and Antarctic Territories,0.0
Denmark,2199951.5646277615
The former Yugoslav Republic of Macedonia,619502.2021455568
Croatia,1575697.8643568407
Malta,154610.005271929
San Marino,9918.475344453309
Slovenia,523154.2554911341
Greece,2100985.1803031834
Italy,1.197058121561268E7
Portugal,2451607.1783717414
Spain,1.4458803753834456E7
Bosnia and Herzegovina,2232670.685236981
Andorra,39599.03077342462
Albania,2246812.9595424426
Monaco,1553.2932296073466
Netherlands,5118850.491645645
Luxembourg,315176.64689901937
Liechtenstein,13814.656940618972
France,2.0582372558267117E7
Germany,2.3641256462377727E7
Switzerland,2644433.118123783
Belgium,3264887.665532962
Austria,2766459.1480680453
Australia,1958037.1316290689
Palau,11456.28270019577
Canada,7097443.537227538
Canada,551511.7329265287
Canada,117997.3370877947
Mozambique,2.1322080213565197E7
Mauritius,491222.901917652
Malawi,1.2039760034459718E7
Rwanda,9481635.624489581
Somalia,1.0778922440174466E7
Zambia,1.0870658724742644E7
Kenya,4.656807757674369E7
Madagascar,1.6425351285902252E7
Seychelles,27539.95245954642
United Republic of Tanzania,4.382734600845513E7
Uganda,3.302989977742926E7
Zimbabwe,1.397428252329043E7
Ethiopia,1.0375156776852642E8
Eritrea,2149581.8733155485
Djibouti,492107.1151317397
Comoros,271160.1634651731
Burundi,9805344.800414525
Gabon,1075663.1020691365
Equatorial Guinea,1413573.291303971
Chad,9432788.544734817
Sao Tome and Principe,76378.25747032114
Congo,3931853.024046418
Democratic Republic of the Congo,5.077977624127632E7
Cameroon,1.2589311017828187E7
Central African Republic,1706439.2404551208
Angola,2.792688370296414E7
Morocco,1.327144550561018E7
Libya,2450116.753448816
Tunisia,4225591.515944846
Egypt,4.674873758401947E7
Algeria,1.8339314886044297E7
Namibia,1870335.5804096365
Swaziland,1327553.070135988
Lesotho,1625221.160999477
South Africa,3.0749892116613705E7
Botswana,1023943.7199749338
Togo,4227327.77301217
Sierra Leone,3863906.9264739077
Senegal,7184845.606610509
Nigeria,1.0208609296765083E8
Niger,1.4597739753978297E7
Mauritania,3887225.246016095
Mali,1.142571387385831E7
Liberia,2447976.8191714184
Guinea-Bissau,830361.3564447003
Gambia,1232182.991393708
Guinea,6275357.770096744
Ghana,1.6215002367482143E7
Cape Verde,343029.6750685599
Côte d'Ivoire,1.122888825371927E7
Burkina Faso,1.6006710488931464E7
Benin,6176802.876590543
Brazil,5.427346339785304E7
Turkmenistan,2202242.9949667165
Uzbekistan,1.2221746776902461E7
Tajikistan,4605170.827642902
Kyrgyzstan,2657433.7193744597
Kazakhstan,1.066243090051987E7
Mongolia,2002233.779185006
Republic of Korea,1.92702822680261E7
Dem People's Rep of Korea,9458936.39051148
China,8.757528518069127E8
Myanmar,2.5185953603488423E7
Cambodia,1.050229448825593E7
Viet Nam,5.180523784618052E7
Lao People's Democratic Republic,3981564.260580389
Malaysia,1.2689035087537454E7
Thailand,3.3409528065203447E7
Brunei Darussalam,149857.8054687321
Philippines,4.931680000743413E7
Indonesia,7.772373842626871E7
Singapore,1854649.8494351136
Timor-Leste,585198.3994179398
Maldives,193245.23542355138
Nepal,2.7903248916861106E7
Pakistan,1.112552437702231E8
India,6.527107491421119E8
Iran  (Islamic Republic of),4.394475148372473E7
Sri Lanka,1.3464451110487536E7
Bhutan,553273.4294178972
Bangladesh,8.516671209081224E7
Afghanistan,2.8011233128921643E7
Oman,2638414.5648564957
Kuwait,2740131.6777049173
Lebanon,1893879.5987260127
Qatar,2353663.2559095323
Saudi Arabia,1.841470735163294E7
Turkey,4.2700671933817126E7
Yemen,1.5300275462282548E7
Iraq,2.2934360785387877E7
Jordan,6926812.483763841
Syrian Arab Republic,6032674.15869309
Israel,3138546.804705857
Georgia,1543005.7383466717
Cyprus,456169.18839955697
Bahrain,581862.1089111432
Azerbaijan,3872437.9045732776
Armenia,938993.425771973
United Arab Emirates,6544275.710529436
"Moldova, Republic of",2115377.6485091215
Hungary,3105563.946134578
Poland,1.596146256783516E7
Romania,8346522.996528063
Ukraine,1.6438300026033163E7
Belarus,5055636.497843297
Czech Republic,3654222.1678079
Slovakia,1681841.3903614695
Bulgaria,2972750.225298988
Norway,2608711.172075539
Sweden,4283972.656355854
Lithuania,2092945.1300180121
Latvia,1147679.319056761
Ireland,2560502.4676105003
Iceland,218674.44351116987
U.K. of Great Britain and Northern Ireland,1.736306864786204E7
Finland,2531271.5029598535
Estonia,1062467.8866532212
Svalbard and Jan Mayen Islands,4454.010376464152
Madeira Islands,102356.84264963455
Azores Islands,40411.32412372721
British Indian Ocean Territory,0.0
Guernsey,10581.820296223052
Jersey,34936.783643501076
Isle of Man,29320.617852211013
Holy See,190.2243039523124
Greenland,15721.75719425242
Western Sahara,316279.0052256997
Gaza Strip,857144.7537352795
West Bank,39320.27608918262
West Bank,1347577.6133154244
Gibraltar,4166.3794114277325
Saint Helena,1362.4483359301698
Macau,190320.5874772956
Hong Kong,1240609.6235283124
Abyei,27152.118886205564
Ilemi triangle,13375.278164354144
Hala'ib triangle,2447.273435735249
Ma'tan al-Sarra,0.0
Paracel Islands,177.36360475637895
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,403.94455536082387
Aksai Chin,2642.2591604564414
Spratly Islands,0.0
Jammu and Kashmir,1.2472572276779264E7
Arunachal Pradesh,636772.9400917798
Norfolk Island,608.702900828034
