country,Population2020
Montenegro,827037.3070444778
Serbia,1.2581709324890343E7
South Sudan,1.0678497103760745E7
Sudan,4.602630376213614E7
Taiwan,2.580915372760633E7
Cocos (Keeling) Islands,517.2779966413627
Christmas Island,3067.9160211106696
Ashmore and Cartier Islands,0.0
Faroe Islands,106939.25712543032
Mayotte,316735.5972479241
Réunion,1022092.2266234992
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,8122.290208741702
French Southern and Antarctic Territories,0.0
Denmark,1.0172125100352798E7
The former Yugoslav Republic of Macedonia,2831258.7795049073
Croatia,5716958.008193003
Malta,628649.444812225
San Marino,43396.33850599307
Slovenia,3028839.0175736975
Greece,1.2868508198530363E7
Italy,8.100133381738614E7
Portugal,1.2708135412228582E7
Spain,6.0556668413261E7
Bosnia and Herzegovina,4629313.5803407645
Andorra,103484.20377247944
Albania,3799624.028994369
Monaco,12160.930993693852
Netherlands,2.818027619089465E7
Luxembourg,979655.7245008564
Liechtenstein,55371.115400716495
France,9.420759569271794E7
Germany,1.3203134101686117E8
Switzerland,1.267537209556464E7
Belgium,1.830156052765731E7
Austria,1.3266084759893723E7
Australia,5913765.127706917
Palau,16979.911385136103
Canada,3.1677951145826135E7
Canada,3247041.5846059043
Canada,743684.604025166
Mozambique,3.2849488567048784E7
Mauritius,1379504.5515615009
Malawi,2.002957242923081E7
Rwanda,1.3145019705391869E7
Somalia,1.661448042799674E7
Zambia,1.9459084379757263E7
Kenya,5.210222103272449E7
Madagascar,2.9923736105462607E7
Seychelles,102320.84081493423
United Republic of Tanzania,6.197901122756715E7
Uganda,4.449898878019461E7
Zimbabwe,1.6541412220844215E7
Ethiopia,1.18679981021266E8
Eritrea,3653619.929615974
Djibouti,1109785.5251983267
Comoros,810581.9116313631
Burundi,1.2233008148310017E7
Gabon,2276611.580276077
Equatorial Guinea,1589455.702454885
Chad,1.6918849481996655E7
Sao Tome and Principe,218808.8656611092
Congo,5659892.10119338
Democratic Republic of the Congo,9.341159478996328E7
Cameroon,2.6570032091562446E7
Central African Republic,5367708.021059963
Angola,3.4095266162481174E7
Morocco,4.384846002061149E7
Libya,7845430.818638189
Tunisia,1.4981842868594944E7
Egypt,1.2359064350519711E8
Algeria,5.338393451708756E7
Namibia,2671565.3862476433
Swaziland,1317355.8870235917
Lesotho,2587892.1868121284
South Africa,6.6931986322339505E7
Botswana,2766838.020555258
Togo,8423470.604796007
Sierra Leone,8308603.7799173705
Senegal,1.6953260548419844E7
Nigeria,2.109420243010575E8
Niger,2.5011641472687777E7
Mauritania,4692107.190119773
Mali,2.182634907541056E7
Liberia,5121929.743616709
Guinea-Bissau,2058411.2806453293
Gambia,2680832.4865226042
Guinea,1.342454531402841E7
Ghana,3.253095597763107E7
Cape Verde,558630.7915310956
Côte d'Ivoire,2.7008108677217092E7
Burkina Faso,2.201018744625768E7
Benin,1.2734625563504959E7
Brazil,2.2549568808641374E8
Turkmenistan,8037455.266604531
Uzbekistan,4.4073800853923015E7
Tajikistan,1.2246435544860365E7
Kyrgyzstan,8512147.833407378
Kazakhstan,2.7923592978805047E7
Mongolia,4914547.5932182595
Republic of Korea,6.304071403408052E7
Dem People's Rep of Korea,3.29733769820525E7
China,1.6987131715705862E9
Myanmar,5.574771804116939E7
Cambodia,1.6653232753388334E7
Viet Nam,1.0040735498284389E8
Lao People's Democratic Republic,7682206.648370943
Malaysia,3.278269142810426E7
Thailand,7.405365246171726E7
Brunei Darussalam,445844.54901412036
Philippines,1.1119971641595426E8
Indonesia,2.690579020986059E8
Singapore,5838523.600187603
Timor-Leste,1309171.1108719415
Maldives,423406.5732990442
Nepal,3.3028242143724263E7
Pakistan,2.5874430223871768E8
India,1.5018802684031875E9
Iran  (Islamic Republic of),1.0517602088553198E8
Sri Lanka,2.1837317988105126E7
Bhutan,934596.1627935503
Bangladesh,1.8278273732752785E8
Afghanistan,4.731679793342564E7
Oman,4856708.425248319
Kuwait,4929024.333250622
Lebanon,6385224.114795205
Qatar,3040219.1867102697
Saudi Arabia,3.914723040126849E7
Turkey,1.061191934295757E8
Yemen,3.3172617408501204E7
Iraq,5.118063487458309E7
Jordan,1.2883487009808693E7
Syrian Arab Republic,2.5108576989136845E7
Israel,1.0112927961372444E7
Georgia,5054364.347548332
Cyprus,1510316.2050625712
Bahrain,1143864.753660044
Azerbaijan,1.339353707374511E7
Armenia,3678693.810939418
United Arab Emirates,1.0114852178713735E7
"Moldova, Republic of",4528318.013694475
Hungary,1.4376730568098458E7
Poland,6.2069533743792E7
Romania,2.7868707567599993E7
Ukraine,6.6552339820073426E7
Belarus,1.6256324566448936E7
Czech Republic,1.6325335850471329E7
Slovakia,8241176.026523388
Bulgaria,9443326.616362715
Norway,1.040447479487852E7
Sweden,1.9663540967638884E7
Lithuania,4933053.055371427
Latvia,3433612.8771772273
Ireland,8141244.446600677
Iceland,810591.1299961975
U.K. of Great Britain and Northern Ireland,1.0987441011630504E8
Finland,1.1464128607699966E7
Estonia,2578845.119838175
Svalbard and Jan Mayen Islands,12726.070240265715
Madeira Islands,309882.50756658387
Azores Islands,288714.45197642915
British Indian Ocean Territory,0.0
Guernsey,94933.56915398651
Jersey,161816.47390684392
Isle of Man,141583.9214609887
Holy See,1507.8542437040778
Greenland,74160.91083064454
Western Sahara,599721.6411395167
Gaza Strip,2098860.778353747
West Bank,121486.78437293982
West Bank,3785623.393427482
Gibraltar,30205.49869021354
Saint Helena,5772.212928214596
Macau,525186.2917747487
Hong Kong,6633103.947859109
Abyei,29839.6811554463
Ilemi triangle,25444.18340649513
Hala'ib triangle,5237.694815444289
Ma'tan al-Sarra,0.0
Paracel Islands,470.10961327446876
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,910.4974057488143
Aksai Chin,5707.7242585942
Spratly Islands,0.0
Jammu and Kashmir,2.34100547393145E7
Arunachal Pradesh,1282146.843743084
Norfolk Island,2480.4647937101604
Wallis and Futuna,11695.587345859321
French Polynesia,300493.3891053152
New Zealand,6451565.715189488
Australia,8468952.99122826
Australia,1.6356878468574263E7
Papua New Guinea,9289656.04265737
Vanuatu,314016.29661091964
Solomon Islands,672583.3331718163
Fiji,858693.4597670926
Marshall Islands,36081.49887976962
Nauru,11600.269636451432
Micronesia (Federated States of),104441.17585999578
Kiribati,121009.21672907734
Samoa,213955.2135063748
Tonga,109899.11044228458
Tuvalu,9843.252264765662
Canada,7964.109059006305
Canada,7210559.661805134
Canada,909356.53325045
Canada,9575971.973064091
Canada,2260024.368018288
Canada,41890.103317671215
Canada,46096.21664543881
United States of America,1.1357454371300898E8
United States of America,1.4054417066367337E8
United States of America,2.5338006239767015E7
Japan,1.508268150603539E8
Russian Federation,2.5001096920658997E8
Cook Islands,17757.786713554535
Niue,2193.2580427081775
Northern Mariana Islands,50045.81199348545
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,304708.1620933528
Tokelau,1474.4538545814214
Guam,173344.48730185532
American Samoa,46868.50938229681
Kuril islands,20864.426100207984
Martinique,374994.57640731154
Guadeloupe,449398.32961406664
Clipperton Island,0.0
Dominica,72301.90591475043
Dominican Republic,1.16319285359726E7
Antigua and Barbuda,95900.65307887172
Cuba,1.2158047646194309E7
Grenada,118197.58402170114
Jamaica,2957423.6815900397
Saint Kitts and Nevis,48883.67072380145
Trinidad and Tobago,1541074.5466966913
Bahamas,441151.7917685905
Saint Lucia,182430.51350672857
Saint Vincent and the Grenadines,111833.75902676537
Barbados,287677.6067255866
Haiti,1.187788993961637E7
Panama,4321455.004647692
El Salvador,6484874.033035943
Nicaragua,6923118.092089465
Mexico,1.3535311251684678E8
Honduras,1.0444426913618902E7
Guatemala,1.797295988775164E7
Costa Rica,5199827.83182021
Belize,411337.55917638075
United States of America,3.0572314310742483E7
United States of America,1.1647508011694573E8
Colombia,5.127144030055202E7
Guyana,806282.4765138333
Ecuador,1.758266465387104E7
French Guiana,292153.96799895004
Paraguay,7315843.706257515
Suriname,601856.945891081
Uruguay,4109336.5422577877
Venezuela,2.8857618249933124E7
Peru,3.3784533844649695E7
Chile,2.342318422683021E7
Bolivia,1.2477027488482684E7
Netherlands Antilles,268395.66469432233
Navassa Island,0.0
Puerto Rico,3444460.3851457066
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,108336.78122015901
Pitcairn,64.63606229971218
Cayman Islands,71863.20113301201
Montserrat,4727.030095606969
Turks and Caicos islands,46417.218132769674
British Virgin Islands,30773.492721904026
Anguilla,15963.734559244334
Bermuda,53029.61945638909
United States Virgin Islands,104678.66855641725
Falkland Islands (Malvinas),5285.177179240199
South Georgia and the South Sandwich Islands,0.0
Argentina,5.3760009560521826E7
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
