country,Population2000
Montenegro,832210.6704023414
Serbia,1.3595503950131638E7
South Sudan,6191401.963222444
Sudan,2.7223233725069813E7
Taiwan,2.3993877566087935E7
Cocos (Keeling) Islands,568.1611639916823
Christmas Island,1336.195763015676
Ashmore and Cartier Islands,0.0
Faroe Islands,93304.83989726185
Mayotte,165444.37779030408
Réunion,838722.9790172309
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,8595.318740016122
French Southern and Antarctic Territories,0.0
Denmark,9309181.802080706
The former Yugoslav Republic of Macedonia,2733474.319260764
Croatia,6351870.021262211
Malta,489375.64284463174
San Marino,34422.54732316445
Slovenia,2843494.8302503917
Greece,1.3524351649937483E7
Italy,7.733910514171259E7
Portugal,1.2718771411913281E7
Spain,5.216718084212354E7
Bosnia and Herzegovina,5827738.448042368
Andorra,87637.45322054044
Albania,4217369.451436384
Monaco,11409.677713959805
Netherlands,2.570422991282649E7
Luxembourg,678727.3654867278
Liechtenstein,47306.47629128574
France,8.579962358923545E7
Germany,1.293348928109249E8
Switzerland,1.0555289344079407E7
Belgium,1.6249935235857708E7
Austria,1.1928698711848998E7
Australia,4479881.659968577
Palau,18324.668820418974
Canada,2.6183730216859642E7
Canada,3069395.180251854
Canada,717658.7544064437
Mozambique,1.8752893734868854E7
Mauritius,1295920.6010901488
Malawi,1.1622709953257725E7
Rwanda,8119069.149542881
Somalia,8793767.085149461
Zambia,1.0176409152657576E7
Kenya,3.0828430256759997E7
Madagascar,1.7164389819578193E7
Seychelles,77942.47163140005
United Republic of Tanzania,3.463340245106369E7
Uganda,2.4097044428253707E7
Zimbabwe,1.249703387866239E7
Ethiopia,6.806630216903068E7
Eritrea,2472893.13679245
Djibouti,756408.5939450664
Comoros,539421.7481661907
Burundi,6332674.70010541
Gabon,1264780.2330038212
Equatorial Guinea,677397.1639605884
Chad,8382571.171096099
Sao Tome and Principe,144292.89725949982
Congo,3124246.5857695094
Democratic Republic of the Congo,4.8821134050593525E7
Cameroon,1.5130261530911893E7
Central African Republic,3775745.954602615
Angola,1.668500373468238E7
Morocco,3.414162894379649E7
Libya,6075383.595956979
Tunisia,1.218676257695757E7
Egypt,8.207676142866088E7
Algeria,3.786047703660422E7
Namibia,1950119.6471956596
Swaziland,1151222.0434675307
Lesotho,2299496.9566316553
South Africa,5.328498485569262E7
Botswana,1875356.8882055052
Togo,4983088.997543006
Sierra Leone,4626146.128060286
Senegal,1.0013809410403945E7
Nigeria,1.2455711662027001E8
Niger,1.1964667308856376E7
Mauritania,2806416.0389925917
Mali,1.1546443940267157E7
Liberia,2914748.063619736
