,category,Population2020,Population2020,Population2020,Population2020,UrbanPopulation2020,UrbanPopulation2020,UrbanPopulation2020,UrbanPopulation2020,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2020,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2020
,,count,mean,min,max,count,mean,min,max,count,mean,min,max,count,mean,min,max
0,East Asia & Pacific,22,109873901.27272727,9843,1698714082,22,66749117.31818182,6722,1035425652,22,3779740.0,0,59108591,22,8631482.272727273,242,136884213
1,Europe & Central Asia,15,21980116.0,827037,106119193,15,14575737.133333333,521879,80433235,15,631847.6,15543,2884343,15,1487355.8666666667,42427,6995268
2,Latin America & Caribbean,23,28385389.826086957,72302,225495688,23,20325677.04347826,23209,165634878,23,639497.0869565217,332,4305466,23,1572002.1304347827,332,9415816
3,Middle East & North Africa,13,37121059.23076923,1109786,123590644,13,28538026.153846152,962613,106620118,13,1330018.076923077,16663,4716492,13,3360140.076923077,48884,10594776
4,South Asia,8,255868458.5,423407,1501880268,8,146256723.0,218954,848249625,8,12354101.25,5485,69496203,8,23479385.5,13130,132063879
5,Sub-Saharan Africa,43,26575117.744186047,218809,210942024,43,14570157.627906976,157774,146039438,43,1445430.4186046512,6444,10450292,43,3121458.0,11298,28710013
6,Low income,26,26847832.384615384,2058411,118679981,26,14384662.846153846,1021618,61478278,26,1642150.0,66860,6934016,26,3162315.8076923075,153529,11862278
7,Lower middle income,46,67680730.52173913,104441,1501880268,46,39808007.652173914,12227,848249625,46,3164985.0217391304,0,69496203,46,6470179.543478261,242,132063879
8,Upper middle income,51,63369179.823529415,9843,1698714082,51,41051823.47058824,6722,1035425652,51,1902931.9411764706,0,59108591,51,4562338.274509804,332,136884213
