,country,continent,c1UrbanPopChange_2000-2020,c1UrbanPopChange_2010-2020,c1UrbanPopChange_2010-2030,c1UrbanPopChange_2020-2030,c2UrbanPopChange_2000-2020,c2UrbanPopChange_2010-2020,c2UrbanPopChange_2010-2030,c2UrbanPopChange_2020-2030,c3UrbanPopChange_2000-2020,c3UrbanPopChange_2010-2020,c3UrbanPopChange_2010-2030,c3UrbanPopChange_2020-2030,NonUrbanPopulation_10YearLag2020,NonUrbanPopulation_10YearLag2030,NonUrbanPopulation_20YearLag2020,NonUrbanPopulation_20YearLag2030,PopChange_2000-2020,PopChange_2010-2020,PopChange_2010-2030,PopChange_2020-2030,Population2000,Population2010,Population2020,Population2030,UrbanPopulation2000,UrbanPopulation2010,UrbanPopulation2020,UrbanPopulation2030,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2030,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2030,Region,Income group
0,Abyei,0,0,504,0,0,0,1882,2088,255,0,1882,2088,255,834,0,0,0,22984,19057,24413,7951,11023,13882,29840,34175,0,4773,9964,12009,4756,2992,9964,6644,,
1,Afghanistan,Asia,489258,301715,375522,148314,11952179,8033285,16445125,9854810,11952179,8033285,16445125,9854810,990555,615718,1248325,973135,25786315,15225401,29462664,14830698,23755401,34231732,47316798,61092584,13735834,21183709,32273966,45229174,4659915,4063225,8326605,9333588,South Asia,Low income
2,Aksai Chin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,664,757,108,6891,6898,5708,5600,0,0,0,0,0,0,0,0,,
3,Albania,Europe,9067,1396,4998,2766,522381,329425,635056,375936,522381,329425,635056,375936,77481,92609,154653,124563,914534,486380,960952,518645,4217369,3861347,3799624,3697570,1888293,1935124,2199249,2390065,135094,77364,267169,225936,Europe & Central Asia,Upper middle income
4,Algeria,Africa,183905,99655,180011,25899,9037401,5950593,10671222,5180818,9037401,5950593,10671222,5180818,556083,190488,729382,659623,16931386,9496711,17199165,7884325,37860477,44083698,53383935,61122016,22894221,28601347,36195229,42533363,2239362,1395246,5735268,3826260,Middle East & North Africa,Upper middle income
5,American Samoa,Oceania,0,0,0,4,409,7,81,313,409,7,81,313,0,1044,0,0,4041,583,1034,704,58860,55639,46869,41759,19887,11755,35853,30346,26473,0,22333,21990,East Asia & Pacific,High income
6,Andorra,Europe,0,0,0,0,8118,3242,2184,478,8118,3242,2184,478,0,0,0,0,27723,13421,25402,14025,87637,95105,103484,108220,47743,47473,47086,43801,0,2049,0,2049,Europe & Central Asia,High income
7,Angola,Africa,43754,31208,41926,28392,12157501,9004029,17147697,9405763,12157501,9004029,17147697,9405763,177099,198215,185295,213931,22668573,14578428,27922593,14089733,16685004,23829027,34095266,45783719,10592472,15852494,24351162,33394959,2069137,988655,4902035,3951765,Sub-Saharan Africa,Lower middle income
8,Anguilla,North America,0,0,0,0,0,0,0,110,0,0,0,110,0,0,0,0,4851,3929,4467,582,11401,13592,15964,16450,0,0,5345,6080,5345,656,5345,6080,,
9,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,Antigua and Barbuda,North America,0,0,0,0,4243,3021,5123,2391,4243,3021,5123,2391,0,0,0,0,28196,15893,23574,8308,77852,89193,95901,100936,28332,32298,33190,38789,1774,3335,5741,5379,Latin America & Caribbean,High income
11,Argentina,South America,100062,21539,38625,6861,5967451,3418366,5721790,2577371,5967451,3418366,5721790,2577371,145274,82200,319022,185572,10324073,5176137,8517199,3545495,44139621,49002491,53760010,56983255,33763105,38212274,42539738,45209123,1412658,419131,3573159,1898714,Latin America & Caribbean,Upper middle income
12,Armenia,Asia,3948,987,1311,171,95004,43641,51867,17431,95004,43641,51867,17431,39429,21288,81071,51484,230527,100570,135975,60899,4156634,3864218,3678694,3618903,2705555,2479443,2294936,2282102,25834,28425,42427,45902,Europe & Central Asia,Upper middle income
13,Aruba,North America,0,0,0,13,10618,6657,8661,2841,10618,6657,8661,2841,0,4711,0,0,25174,12456,14936,3756,90693,102111,108337,106696,54681,64358,79337,75299,11753,920,18924,7744,Latin America & Caribbean,High income
14,Arunachal Pradesh,0,2880,1804,885,249,76577,56388,90191,45879,76577,56388,90191,45879,4131,1250,7392,3024,560958,302215,482310,204447,797005,1048602,1282147,1445922,199104,309100,416101,484777,64009,30411,152693,99976,,
15,Ashmore and Cartier Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,Australia,Oceania,80195,29788,39384,8229,4467337,3184559,5438853,2666123,4467337,3184559,5438853,2666123,194761,77323,266997,183066,9240139,5204948,8651835,3740370,22793767,26361414,30739596,33767142,15068908,17969456,22141351,25207592,1298103,695127,3038898,2208474,East Asia & Pacific,High income
17,Austria,Europe,22023,10421,15464,2332,960160,624160,928644,333403,960160,624160,928644,333403,105361,81384,136856,144701,2051923,1114455,1808498,867875,11928699,12453742,13266085,13485602,5177679,5651065,6280230,6580939,155558,129741,380928,245574,Europe & Central Asia,High income
18,Azerbaijan,Asia,29467,8362,8052,426,1508270,1046447,1602058,720933,1508270,1046447,1602058,720933,63716,39538,141522,70793,3292855,1657295,2499715,1040807,10680265,12034164,13393537,13947609,6715945,7835823,9022411,9523488,420818,150471,1341864,584280,Europe & Central Asia,Upper middle income
19,Azores Islands,0,14,5,132,94,6053,206,236,165,6053,206,236,165,2876,8709,1948,11416,15880,1776,5840,4553,297367,308982,288714,271195,104857,104597,102653,88683,6489,0,0,6307,,
20,Bahamas,North America,232,0,0,0,47557,29738,49305,20919,47557,29738,49305,20919,0,0,5328,0,106394,52329,90208,39798,353420,405205,441152,466413,224133,262166,299635,346506,9532,27673,36428,38367,,
21,Bahrain,Asia,0,1316,1215,24,492492,296559,422740,133646,492492,296559,422740,133646,13811,1243,0,8361,551783,332478,464287,140013,622161,1047756,1143865,1171415,569140,981800,1071816,1109613,23927,4293,36853,26756,Middle East & North Africa,High income
