country,area
Montenegro,13766.3888
Serbia,88487.72406
South Sudan,629798.023
Sudan,1843166.955
Taiwan,36164.76608
Cocos (Keeling) Islands,37.19556929
Christmas Island,139.7253876
Ashmore and Cartier Islands,7.497275105
Faroe Islands,1372.693988
Mayotte,416.7036789
Réunion,2506.291969
Tromelin Island,2.947667988
Juan de Nova Island,3.485936654
Glorioso Island,8.957899357
Europa Island,25.9509585
Bassas da India,3.279345529
Saint Pierre et Miquelon,235.8982861
French Southern and Antarctic Territories,7815.99971
Denmark,44502.14497
The former Yugoslav Republic of Macedonia,25415.57105
Croatia,56577.1434
Malta,318.3623556
San Marino,57.14352922
Slovenia,20305.15745
Greece,132666.6088
Italy,301865.1584
Portugal,88837.31267
Spain,505885.762
Bosnia and Herzegovina,51141.07464
Andorra,475.8230752
Albania,28687.86782
Monaco,7.164619485
Netherlands,35191.58446
Luxembourg,2616.447315
Liechtenstein,148.7390934
France,548899.1759
Germany,357226.6782
Switzerland,41275.6358
Belgium,30693.78096
Austria,83966.72862
Australia,5676141.389
Palau,588.3481704
Canada,1639186.27
Canada,427904.2243
Canada,149111.7784
Mozambique,787429.4354
Mauritius,2046.543005
Malawi,118731.804
Rwanda,25384.99909
Somalia,632864.11
Zambia,750982.5096
Kenya,582506.8943
Madagascar,590103.6113
Seychelles,530.8066227
United Republic of Tanzania,939999.2856
Uganda,241446.0496
Zimbabwe,390629.1494
Ethiopia,1129289.717
Eritrea,121009.4995
Djibouti,21696.63316
Comoros,1656.415657
Burundi,26844.01015
Gabon,264200.6412
Equatorial Guinea,26983.78109
Chad,1264800.855
Sao Tome and Principe,1004.198436
Congo,340613.687
Democratic Republic of the Congo,2329094.07
Cameroon,465381.5463
Central African Republic,619638.5574
Angola,1246792.866
Morocco,414193.1537
Libya,1621337.078
Tunisia,155435.6907
Egypt,982446.9243
Algeria,2308882.552
Namibia,824021.709
Swaziland,17288.12096
Lesotho,30442.60913
South Africa,1220464.418
Botswana,578192.1694
Togo,56769.87817
Sierra Leone,72385.58457
Senegal,196530.7189
Nigeria,909041.907
Niger,1182464.2
Mauritania,1038419.951
Mali,1251533.482
Liberia,96192.04098
Guinea-Bissau,31508.46686
Gambia,11129.40896
Guinea,243293.9596
Ghana,238881.5211
Cape Verde,4046.924429
Côte d'Ivoire,321802.612
Burkina Faso,273325.7853
Benin,115294.5467
Brazil,8487434.158
Turkmenistan,555057.5159
Uzbekistan,449496.1052
Tajikistan,141998.9601
Kyrgyzstan,199197.5491
Kazakhstan,2841098.05
Mongolia,1564512.096
Republic of Korea,99122.90115
Dem People's Rep of Korea,122463.4918
China,9345467.562
Myanmar,667018.8266
Cambodia,181469.295
Viet Nam,327822.8258
Lao People's Democratic Republic,230347.4486
Malaysia,329748.7526
Thailand,515690.4242
Brunei Darussalam,5914.001535
Philippines,295774.5956
Indonesia,1887792.331
Singapore,580.5229911
Timor-Leste,14903.56356
Maldives,1193.185638
Nepal,147463.2652
Pakistan,788981.8408
India,2962803.585
Iran  (Islamic Republic of),1677331.673
Sri Lanka,66369.46998
Bhutan,37676.8213
Bangladesh,140131.594
Afghanistan,641840.2177
Oman,308317.5592
Kuwait,17403.79898
Lebanon,10141.97233
Qatar,11583.28399
Saudi Arabia,1925573.256
Turkey,781403.0145
Yemen,453689.316
Iraq,436023.8851
Jordan,89174.65479
Syrian Arab Republic,188069.4749
Israel,20699.94539
Georgia,69796.26224
Cyprus,9316.56698
Bahrain,670.0374051
Azerbaijan,164774.556
Armenia,29620.73457
United Arab Emirates,71529.79332
"Moldova, Republic of",33808.86879
Hungary,93117.1821
Poland,312023.0327
Romania,238116.8351
Ukraine,600662.3017
Belarus,207558.3745
Czech Republic,78841.94421
Slovakia,49093.82807
