country,Population2010
Montenegro,828914.4899349792
Serbia,1.3158575447636653E7
South Sudan,9834222.38064297
Sudan,3.494589230724339E7
Taiwan,2.498390944490692E7
Cocos (Keeling) Islands,556.7911793665668
Christmas Island,2098.463309670301
Ashmore and Cartier Islands,0.0
Faroe Islands,98826.12406667073
Mayotte,219896.9722090438
Réunion,949740.4988280726
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,8266.17384727469
French Southern and Antarctic Territories,0.0
Denmark,9684749.193459032
The former Yugoslav Republic of Macedonia,2808024.9284883495
Croatia,6099212.998895304
Malta,512805.1029068352
San Marino,40398.17648877431
Slovenia,2945353.64234218
Greece,1.3515089924606536E7
Italy,8.130610321432152E7
Portugal,1.3067093522114795E7
Spain,5.95376037236945E7
Bosnia and Herzegovina,5315012.547126593
Andorra,95104.85977181752
Albania,3861347.450627702
Monaco,12452.76894897862
Netherlands,2.685952466250833E7
Luxembourg,789145.8207982797
Liechtenstein,51376.10668984396
France,9.126494376322813E7
Germany,1.2890802041307059E8
Switzerland,1.1487155770280197E7
Belgium,1.7220730381560612E7
Austria,1.2453742366396192E7
Australia,5218477.740875986
Palau,17259.485585516315
Canada,2.897856549576087E7
Canada,3108028.635334714
Canada,722281.9826136103
Mozambique,2.433123024169725E7
Mauritius,1365736.7218823794
Malawi,1.522035904141052E7
Rwanda,1.031014151420495E7
Somalia,1.2100599253832899E7
Zambia,1.4179804480158078E7
Kenya,4.155991671231721E7
Madagascar,2.3021128293460693E7
Seychelles,89796.51756991138
United Republic of Tanzania,4.5308606506739795E7
Uganda,3.2437452772051778E7
Zimbabwe,1.3559016691818347E7
Ethiopia,9.049400875254166E7
Eritrea,3238780.0194279603
Djibouti,936648.509354662
Comoros,659582.8605109393
Burundi,9152062.591684347
Gabon,1702178.1266797434
Equatorial Guinea,1084712.8913008245
Chad,1.2062754556751344E7
Sao Tome and Principe,182929.2324303572
Congo,4405392.560314748
Democratic Republic of the Congo,6.672885911683253E7
Cameroon,1.993501832971395E7
Central African Republic,4681371.6030512145
Angola,2.382902666776617E7
Morocco,3.880694239536596E7
Libya,7651289.1469971305
Tunisia,1.3418035592103314E7
Egypt,1.003598154001508E8
Algeria,4.4083698097757734E7
Namibia,2253264.6634207973
Swaziland,1228687.0170877734
Lesotho,2324101.5836403985
South Africa,5.895085668281423E7
Botswana,2270651.2861090684
Togo,6545128.193412976
Sierra Leone,6492358.664018789
Senegal,1.2925782897506129E7
Nigeria,1.630339623928673E8
Niger,1.711738103431786E7
Mauritania,3564098.593769397
Mali,1.5972241243807154E7
Liberia,4046187.029979189
Guinea-Bissau,1599563.4747646153
Gambia,2014120.2807643597
Guinea,1.04366452658705E7
Ghana,2.5861337990556654E7
Cape Verde,492129.46681234374
Côte d'Ivoire,2.128893528683419E7
Burkina Faso,1.6485914779777043E7
Benin,9514410.662307112
Brazil,2.078541036866686E8
Turkmenistan,6777450.403520919
Uzbekistan,3.764228072942792E7
Tajikistan,9783535.134098228
Kyrgyzstan,7249168.890965255
Kazakhstan,2.4638245595262498E7
Mongolia,4031028.8396841884
Republic of Korea,5.9367631302846745E7
Dem People's Rep of Korea,3.154843569840685E7
China,1.6084528768759644E9
Myanmar,5.154630897443125E7
Cambodia,1.4623067364178212E7
Viet Nam,9.098283602022249E7
Lao People's Democratic Republic,6636743.598169764
Malaysia,2.8335258922257606E7
Thailand,7.068345642700456E7
Brunei Darussalam,400266.16810926405
Philippines,9.36760388886586E7
Indonesia,2.4184807827856305E8
Singapore,5104717.877782836
Timor-Leste,1096747.8626544608
Maldives,302624.66239552613
Nepal,3.0574046485968392E7
Pakistan,2.2105382705281177E8
India,1.334454316519621E9
Iran  (Islamic Republic of),9.088295125821584E7
Sri Lanka,2.0778895832302313E7
Bhutan,857966.5379979742
Bangladesh,1.620585341871371E8
Afghanistan,3.42317316135158E7
Oman,3103543.1500027585
Kuwait,3331446.576046233
