country,UrbanLand2020,TotalLandArea
Montenegro,157.2470588,19374
Serbia,2234.909804,124643
South Sudan,1723.376471,642378
Sudan,6002.196078,1936292
Taiwan,3713.756863,40528
Cocos (Keeling) Islands,0,73
Christmas Island,0,179
Ashmore and Cartier Islands,0,13
Faroe Islands,6.564705882,3770
Mayotte,57.6,539
Réunion,267.3019608,2831
Tromelin Island,0,5
Juan de Nova Island,0,14
Glorioso Island,0,17
Europa Island,0,52
Bassas da India,0,13
Saint Pierre et Miquelon,0,449
French Southern and Antarctic Territories,0,13814
Denmark,2308.34902,82958
The former Yugoslav Republic of Macedonia,469.627451,34578
Croatia,976.2470588,84060
Malta,153.0352941,501
San Marino,9.960784314,109
Slovenia,515.4392157,30045
Greece,1621.470588,179328
Italy,16045.91765,417503
Portugal,2230.176471,117126
Spain,8926.164706,668743
Bosnia and Herzegovina,853.3568627,72325
Andorra,7,713
Albania,524.1921569,38936
Monaco,3.71372549,23
Netherlands,7114.768627,59318
Luxembourg,198.4196078,4262
Liechtenstein,0,267
France,17173.63529,803884
Germany,29080.02353,573373
Switzerland,2483.698039,61397
Belgium,3897.917647,49225
Austria,2269.184314,126030
Australia,2413.317647,6329666
Palau,5.070588235,811
Canada,9152.886275,2612492
Canada,695.5254902,671902
Canada,167.8196078,239793
Mozambique,4665.039216,836165
Mauritius,322.5568627,2441
Malawi,4357.956863,124500
Rwanda,1003.972549,26096
Somalia,1186.819608,645049
Zambia,2259.090196,780663
Kenya,6551.470588,589417
Madagascar,4281.235294,634373
Seychelles,14.4,962
United Republic of Tanzania,11629.83529,956662
Uganda,8888.062745,244758
Zimbabwe,1741.823529,417287
Ethiopia,13207.88627,1154057
Eritrea,381.0862745,129006
Djibouti,89.54901961,22845
Comoros,122.2705882,1952
Burundi,1249.305882,27662
Gabon,394.7215686,268359
Equatorial Guinea,148.427451,27609
Chad,1738.54902,1325581
Sao Tome and Principe,30.13333333,1142
Congo,593.7882353,345915
Democratic Republic of the Congo,9915.415686,2360504
Cameroon,3185.670588,474407
Central African Republic,583.1490196,631154
Angola,3157.392157,1289947
Morocco,5725.258824,491734
Libya,1850.223529,1832847
Tunisia,2482.984314,190068
Egypt,14762.82745,1107423
Algeria,7943.039216,2640603
Namibia,307.2235294,898632
Swaziland,161.6196078,19722
Lesotho,485.3372549,35671
South Africa,16520.85882,1406879
Botswana,899.4313725,630231
Togo,1193.34902,58763
Sierra Leone,831.5803922,74843
Senegal,1727.352941,206145
Nigeria,29714.76863,932187
Niger,2390.521569,1250962
Mauritania,543.3529412,1117619
Mali,2000.447059,1325009
Liberia,572.572549,98569
Guinea-Bissau,166.0431373,35524
Gambia,389.7098039,12024
Guinea,1396.137255,251997
Ghana,4916,244375
Cape Verde,114.3294118,4829
Côte d'Ivoire,3183.470588,328939
Burkina Faso,2955.670588,283431
Benin,1808.45098,118952
Brazil,38223.58824,8795435
Turkmenistan,1715.254902,720650
Uzbekistan,9764.337255,607812
Tajikistan,2424.25098,184351
Kyrgyzstan,1638.145098,268767
Kazakhstan,6006.882353,4260325
Mongolia,682,2293470
Republic of Korea,8043.992157,128536
Dem People's Rep of Korea,3577.156863,163263
China,257502.6,11778413
Myanmar,7444.854902,730451
Cambodia,3860.52549,188985
Viet Nam,15734.14902,350541
Lao People's Democratic Republic,1521.627451,247267
Malaysia,6289.894118,338370
Thailand,12097.82353,543783
Brunei Darussalam,151.5921569,6339
Philippines,17314.6,320120
Indonesia,44000.03529,1950906
Singapore,409.6901961,730
Timor-Leste,288.2,15735
Maldives,10.32156863,1857
Nepal,7109.160784,169822
Pakistan,26087.18431,914970
India,195334.9412,3245716
Iran  (Islamic Republic of),13472.98431,2009405
