country,urban2020not2010,TotalLandArea
Montenegro,17,19374
Serbia,238.5254902,124643
South Sudan,896.9019608,642378
Sudan,2004.352941,1936292
Taiwan,100.5254902,40528
Cocos (Keeling) Islands,0,73
Christmas Island,0,179
Ashmore and Cartier Islands,0,13
Faroe Islands,0,3770
Mayotte,14.65098039,539
Réunion,37.48627451,2831
Tromelin Island,0,5
Juan de Nova Island,0,14
Glorioso Island,0,17
Europa Island,0,52
Bassas da India,0,13
Saint Pierre et Miquelon,0,449
French Southern and Antarctic Territories,0,13814
Denmark,113.2078431,82958
The former Yugoslav Republic of Macedonia,43.05098039,34578
Croatia,66.43137255,84060
Malta,28.74117647,501
San Marino,0,109
Slovenia,13,30045
Greece,35.38039216,179328
Italy,1020.4,417503
Portugal,133.3333333,117126
Spain,806.0235294,668743
Bosnia and Herzegovina,179.254902,72325
Andorra,0,713
Albania,144.6392157,38936
Monaco,0,23
Netherlands,385.6352941,59318
Luxembourg,41.42352941,4262
Liechtenstein,0,267
France,1743.678431,803884
Germany,1578.172549,573373
Switzerland,319.4745098,61397
Belgium,409.8352941,49225
Austria,172.1294118,126030
Australia,241.0470588,6329666
Palau,2.294117647,811
Canada,505.0470588,2612492
Canada,72.29803922,671902
Canada,10.05882353,239793
Mozambique,1701.894118,836165
Mauritius,9.364705882,2441
Malawi,2258.952941,124500
Rwanda,289,26096
Somalia,421.654902,645049
Zambia,507.4901961,780663
Kenya,2786.776471,589417
Madagascar,1857.254902,634373
Seychelles,8.266666667,962
United Republic of Tanzania,5408.439216,956662
Uganda,5831.843137,244758
Zimbabwe,435.4627451,417287
Ethiopia,7426.941176,1154057
Eritrea,167.2745098,129006
Djibouti,10.74117647,22845
Comoros,39.61176471,1952
Burundi,677.9607843,27662
Gabon,62.05882353,268359
Equatorial Guinea,43.69411765,27609
Chad,626.6666667,1325581
Sao Tome and Principe,7.08627451,1142
Congo,88.07058824,345915
Democratic Republic of the Congo,3537.682353,2360504
Cameroon,767.4784314,474407
Central African Republic,113.5098039,631154
Angola,828.8705882,1289947
Morocco,840.2509804,491734
Libya,288.4078431,1832847
Tunisia,321.6862745,190068
Egypt,2694.596078,1107423
Algeria,1461.552941,2640603
Namibia,51.7372549,898632
Swaziland,30.40392157,19722
Lesotho,121.7098039,35671
South Africa,1576.839216,1406879
Botswana,122.9647059,630231
Togo,290.5529412,58763
Sierra Leone,248.9294118,74843
Senegal,446.6431373,206145
Nigeria,7577.788235,932187
Niger,1067.443137,1250962
Mauritania,132.5803922,1117619
Mali,599.4705882,1325009
Liberia,77.03529412,98569
Guinea-Bissau,38.27843137,35524
Gambia,100.145098,12024
Guinea,381.5686275,251997
Ghana,828.1294118,244375
Cape Verde,37.38431373,4829
Côte d'Ivoire,800.8705882,328939
