system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,2.5564793E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,3710925.0,6.936731967314477E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,323387.0,4.5132347782573774E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,132754.0,3.201403001444429E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,72098.0,2.4634469622105744E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,46165.0,2.034844079174589E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,32300.0,1.7427538329895187E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,24456.0,1.5627047087599512E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,19014.0,1.3991737883267809E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,15547.0,1.3003503353354948E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,13135.0,1.2268215156919751E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,10972.0,1.1334628889360495E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,9599.0,1.0862174883803613E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,8741.0,1.075057058331658E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,7479.0,9946225.336559733,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,6793.0,9678292.026312064,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6134.0,9376543.83098832,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5668.0,9223146.796000442,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,5203.0,8975972.679193089,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4777.0,8698645.07419623,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,4206.0,8093696.930950726,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,4008.0,8110149.997902833,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,3697.0,7838114.779781746,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,3507.0,7779134.966404205,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,3385.0,7848305.217048,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,3090.0,7454777.767019481,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,2956.0,7447436.961688016,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,2734.0,7171138.13886634,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,2652.0,7196770.76855706,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,2437.0,6874160.068874628,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,2272.0,6624850.1126646735,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,2157.0,6515713.89549149,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,2074.0,6469650.421952404,"{""type"":""MultiPoint"",""coordinates"":[]}"
