system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.7887094E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5683921.0,7.880999188587302E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,321457.0,4.494413017218409E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,131102.0,3.1783709265996E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,71928.0,2.4665736515501827E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,44303.0,1.9623593646397796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,30509.0,1.6553745618315715E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,21934.0,1.408477666006299E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,16466.0,1.2191982155672709E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,13217.0,1.1109051337309763E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,10457.0,9826351.962737428,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,8828.0,9170545.208976177,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,7297.0,8303280.234717055,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,6347.0,7844530.9768885905,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,5532.0,7405589.598209304,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,4767.0,6841451.97277643,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,4248.0,6517820.043938954,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,3766.0,6143688.28961104,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,3399.0,5887501.189362359,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,3054.0,5597937.708669784,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2801.0,5411470.514328266,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,2593.0,5273823.841047313,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,2302.0,4890667.074927151,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2252.0,5008418.522356404,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2178.0,5072271.618486096,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1914.0,4646143.735266596,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1784.0,4501024.473280275,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1683.0,4412087.607432349,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1660.0,4510070.220495053,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1450.0,4096859.6761649945,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1363.0,3987541.764459233,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1232.0,3719550.1869438156,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1239.0,3876258.1434659776,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,1194.0,3852119.773139043,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,1129.0,3733580.76938727,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,998.0,3402526.902013803,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1035.0,3641421.960797104,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,970.0,3506062.583503149,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,923.0,3422071.101075107,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,906.0,3458064.980078022,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,865.0,3383745.2097057425,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,853.0,3438108.580264179,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,753.0,3081566.751359306,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,744.0,3121911.7194258273,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,725.0,3121752.1378204925,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,694.0,3077866.854113915,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,656.0,2943923.6292565037,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,653.0,3023742.1907221926,"{""type"":""MultiPoint"",""coordinates"":[]}"
