system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.4880411E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4124698.0,4.5539128081804484E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,138095.0,1.9123371684194222E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,58109.0,1.4032844665164284E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,35611.0,1.2159253844385087E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,25372.0,1.119928984479335E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,19690.0,1.0660997708609112E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,16303.0,1.042689943688599E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,13812.0,1.0231420244809272E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,11957.0,1.0037097897232406E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,10441.0,9823823.626795083,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,9318.0,9699999.594989765,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,8306.0,9459529.055744283,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,7601.0,9420163.02005949,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,6757.0,9045762.535524882,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,6004.0,8630796.518134592,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,5533.0,8505696.85980942,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5094.0,8335710.684668889,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,4342.0,7527784.541447625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4024.0,7404306.770031003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,3620.0,7003108.822301402,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,3274.0,6667018.055080777,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,2963.0,6322248.496726225,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2703.0,6044594.234594513,"{""type"":""MultiPoint"",""coordinates"":[]}"
