bin1980,bin2020,pop2020_sum,pop1980_sum
0.0,0.0,0.0,0.0
0.0,1000.0,44046285.804714985,0.0
0.0,2000.0,5017601.2976068575,0.0
0.0,3000.0,1487069.6664583664,0.0
0.0,4000.0,968851.2534277209,0.0
0.0,5000.0,648258.153532599,0.0
0.0,6000.0,501089.3353530802,0.0
0.0,7000.0,403116.4920934848,0.0
0.0,8000.0,278589.09308569646,0.0
0.0,9000.0,297481.809961224,0.0
0.0,10000.0,133169.20532415807,0.0
0.0,11000.0,262787.4962708503,0.0
0.0,12000.0,171799.47353840026,0.0
0.0,13000.0,238391.15550924093,0.0
0.0,14000.0,135004.8406957388,0.0
0.0,15000.0,85634.92430071533,0.0
0.0,16000.0,62706.07500042021,0.0
0.0,17000.0,66337.33897149563,0.0
0.0,18000.0,52151.02821934223,0.0
0.0,19000.0,93063.09391760826,0.0
0.0,20000.0,19682.744170188904,0.0
0.0,21000.0,61107.815558373935,0.0
0.0,22000.0,64804.75670470297,0.0
0.0,23000.0,89359.76654440165,0.0
0.0,25000.0,48849.02625977993,0.0
0.0,26000.0,127154.32846015692,0.0
0.0,27000.0,79447.23022266477,0.0
0.0,30000.0,59080.55784535408,0.0
0.0,31000.0,576716.2577182353,0.0
1000.0,0.0,0.0,540.9332900485024
1000.0,1000.0,397933268.23158956,144444318.10546544
1000.0,2000.0,92643740.68530057,22924695.776768647
1000.0,3000.0,43336861.24081615,7353908.616075386
1000.0,4000.0,26304352.42651187,3025324.777707642
1000.0,5000.0,18321987.525204346,1607053.2108972515
1000.0,6000.0,14177898.792791592,1005604.5315748944
1000.0,7000.0,11102915.79301361,674825.8600673513
1000.0,8000.0,9115440.035817048,456373.70574227127
1000.0,9000.0,7312303.010737948,334893.67254608485
1000.0,10000.0,6145737.1004571505,255922.10795498715
1000.0,11000.0,5266462.769555037,178107.4388316649
1000.0,12000.0,3987799.7204918037,130009.49881994151
1000.0,13000.0,3318470.83146389,89399.70922523498
1000.0,14000.0,2835022.162766547,81396.40031104747
1000.0,15000.0,2483141.108777335,60916.80744962632
1000.0,16000.0,1827219.0843905597,46419.552471551026
1000.0,17000.0,1902135.6003406052,46536.97322488313
