bin2000,bin2020,pop2020_sum,pixel_count
0.0,0.0,0.0,319275.0
0.0,1000.0,666.0,2143.0
1000.0,1000.0,1.6182121E7,221618.0
2000.0,1000.0,419833.0,509.0
3000.0,1000.0,916.0,1.0
1000.0,2000.0,1315839.0,1105.0
2000.0,2000.0,4433791.0,3102.0
3000.0,2000.0,480378.0,293.0
4000.0,2000.0,21044.0,12.0
5000.0,2000.0,1925.0,1.0
1000.0,3000.0,141015.0,59.0
2000.0,3000.0,1085676.0,486.0
3000.0,3000.0,2306649.0,941.0
4000.0,3000.0,517853.0,203.0
5000.0,3000.0,56738.0,21.0
6000.0,3000.0,15810.0,6.0
1000.0,4000.0,79157.0,23.0
2000.0,4000.0,137383.0,41.0
3000.0,4000.0,856483.0,260.0
4000.0,4000.0,1339838.0,388.0
5000.0,4000.0,356885.0,102.0
6000.0,4000.0,61367.0,17.0
7000.0,4000.0,10642.0,3.0
9000.0,4000.0,3820.0,1.0
1000.0,5000.0,64938.0,15.0
2000.0,5000.0,62654.0,14.0
3000.0,5000.0,190032.0,44.0
4000.0,5000.0,743179.0,170.0
5000.0,5000.0,926713.0,210.0
6000.0,5000.0,273837.0,60.0
7000.0,5000.0,51837.0,12.0
8000.0,5000.0,14429.0,3.0
9000.0,5000.0,4653.0,1.0
1000.0,6000.0,10393.0,2.0
2000.0,6000.0,80127.0,15.0
3000.0,6000.0,53526.0,10.0
4000.0,6000.0,182378.0,34.0
5000.0,6000.0,574354.0,106.0
6000.0,6000.0,583962.0,106.0
7000.0,6000.0,218999.0,40.0
8000.0,6000.0,103729.0,18.0
9000.0,6000.0,22390.0,4.0
11000.0,6000.0,5953.0,1.0
1000.0,7000.0,13470.0,2.0
2000.0,7000.0,6380.0,1.0
3000.0,7000.0,52007.0,9.0
4000.0,7000.0,63621.0,11.0
5000.0,7000.0,223513.0,35.0
6000.0,7000.0,603624.0,93.0
7000.0,7000.0,350380.0,53.0
8000.0,7000.0,188063.0,29.0
9000.0,7000.0,72840.0,11.0
10000.0,7000.0,13174.0,2.0
11000.0,7000.0,13494.0,2.0
13000.0,7000.0,6613.0,1.0
1000.0,8000.0,36156.0,5.0
2000.0,8000.0,51078.0,7.0
3000.0,8000.0,22595.0,3.0
4000.0,8000.0,36451.0,5.0
5000.0,8000.0,81972.0,11.0
6000.0,8000.0,178358.0,24.0
7000.0,8000.0,480294.0,64.0
8000.0,8000.0,226510.0,31.0
9000.0,8000.0,111313.0,16.0
10000.0,8000.0,88650.0,12.0
11000.0,8000.0,30407.0,4.0
12000.0,8000.0,7592.0,1.0
1000.0,9000.0,8240.0,1.0
3000.0,9000.0,16449.0,2.0
4000.0,9000.0,17426.0,2.0
5000.0,9000.0,33142.0,4.0
6000.0,9000.0,51038.0,6.0
7000.0,9000.0,286292.0,34.0
8000.0,9000.0,381940.0,45.0
9000.0,9000.0,203685.0,24.0
10000.0,9000.0,111568.0,13.0
11000.0,9000.0,68400.0,8.0
12000.0,9000.0,42795.0,5.0
13000.0,9000.0,8763.0,1.0
14000.0,9000.0,8764.0,1.0
2000.0,10000.0,28824.0,3.0
3000.0,10000.0,18768.0,2.0
4000.0,10000.0,27698.0,3.0
5000.0,10000.0,9866.0,1.0
6000.0,10000.0,47088.0,5.0
7000.0,10000.0,29184.0,3.0
8000.0,10000.0,254881.0,27.0
9000.0,10000.0,218361.0,23.0
10000.0,10000.0,229327.0,25.0
11000.0,10000.0,121824.0,13.0
12000.0,10000.0,37887.0,4.0
13000.0,10000.0,65730.0,7.0
14000.0,10000.0,9635.0,1.0
1000.0,11000.0,10034.0,1.0
2000.0,11000.0,31845.0,3.0
