system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,2.5891059E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4755463.0,1.0690059833328786E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,961383.0,1.3806232176179105E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,571377.0,1.396374361919466E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,383808.0,1.3211714701212873E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,274219.0,1.2167964748753354E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,203017.0,1.1029698819088936E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,153379.0,9.85902510624113E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,118868.0,8.814780814882869E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,95304.0,8.012797978393127E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,77466.0,7.285570427653041E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,63782.0,6.623618436549395E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,54211.0,6.166066969094236E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,46081.0,5.700137513911799E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,39720.0,5.3074240568023674E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,34238.0,4.91617844337246E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,30351.0,4.651027471127122E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,27224.0,4.4473945072189465E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,24550.0,4.249814638012372E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,21559.0,3.947006527682213E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,19720.0,3.8041270008537054E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,17576.0,3.567619520791932E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,16330.0,3.4718954332094505E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,15129.0,3.36687008763451E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,13817.0,3.219207090240114E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,12844.0,3.1133884509769633E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,11566.0,2.9206804898368157E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,10926.0,2.8633108618237875E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,10068.0,2.741569871780782E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,9565.0,2.7029190245228395E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,8845.0,2.5816053627749067E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,8548.0,2.5834408862765964E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,7768.0,2.4256562256340005E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,7197.0,2.3153603000190597E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,7008.0,2.323561589043601E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,6368.0,2.1775234253409173E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,6291.0,2.2123359651915934E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,5765.0,2.08337166148747E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,5417.0,2.011645965351635E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,5071.0,1.93098359492914E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,4932.0,1.9288389980194308E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,4681.0,1.8780253517441157E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,4607.0,1.8911625564571206E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,4268.0,1.7972120930543408E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,4248.0,1.82762684909787E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,3826.0,1.6868848971854273E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,3612.0,1.629670191392783E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,3693.0,1.7015086472935848E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,3621.0,1.702410110697821E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,3332.0,1.602940401194872E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,3127.0,1.5315540204933193E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,2981.0,1.493037334962057E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,2973.0,1.5186105874016305E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,2860.0,1.483242916833946E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,2764.0,1.467196282214933E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,2596.0,1.40043413199724E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,2462.0,1.3519703945121072E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,2398.0,1.3396582661675677E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,2403.0,1.365889395528338E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,2094.0,1.218175613049764E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,2219.0,1.3073253451214528E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,2185.0,1.3101979796903748E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,2137.0,1.2974017011990119E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,1973.0,1.222036229965122E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,1918.0,1.2045156429417284E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,1895.0,1.2148379589435304E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,1821.0,1.1809715596551789E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,1830.0,1.2064470200688502E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,1684.0,1.1286267201594628E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,1597.0,1.0839537198832735E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,1674.0,1.1475004718850756E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,1495.0,1.0473181061970163E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,1602.0,1.1371960126608787E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,1535.0,1.1018978080261655E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,1553.0,1.1311659309328614E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,1374.0,1.0133727906421041E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,1332.0,9975367.083200723,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,1377.0,1.047459975488802E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,1301.0,1.001175561686821E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,1340.0,1.0403414211578716E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,1273.0,1.002563123855099E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,1206.0,9602242.427787464,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,1219.0,9867901.59468664,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,1165.0,9539031.07261635,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,1176.0,9724403.436203117,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,1172.0,9824511.153051455,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,1082.0,9118568.762294095,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,1140.0,9780399.756155757,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,1025.0,8894333.033799885,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,962.0,8457906.79170914,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,924.0,8224226.783095604,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,947.0,8545513.503261266,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,1027.0,9301336.23925958,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,974.0,8931112.08084323,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,935.0,8656984.405319951,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,869.0,8131978.942563596,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,897.0,8535725.170453615,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,882.0,8451292.9611578,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,850.0,8169054.585954832,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,839.0,8126530.239066383,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,826.0,8125785.379739928,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,824.0,8172476.492129199,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,774.0,7781817.842690734,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10300.0,766.0,7778691.954208427,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,10400.0,752.0,7722060.51087262,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10500.0,740.0,7687702.241337265,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,10600.0,706.0,7393814.131824171,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,10700.0,700.0,7430143.91661321,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,10800.0,665.0,7105999.098130555,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,10900.0,691.0,7431519.833281722,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,11000.0,626.0,6848933.511261954,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,11100.0,710.0,7749860.5304571465,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,11200.0,644.0,7159265.101613279,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,11300.0,593.0,6612532.685410818,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,11400.0,638.0,7177421.330129484,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,11500.0,562.0,6376888.549038824,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,11600.0,580.0,6679540.78323943,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,11700.0,537.0,6192706.13054187,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,11800.0,579.0,6777586.199344124,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,11900.0,530.0,6237910.153702558,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,12000.0,572.0,6744984.509251408,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,12100.0,538.0,6437096.258474091,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,12200.0,503.0,6072417.165320442,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,12300.0,513.0,6263146.042751826,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,12400.0,550.0,6729696.927246701,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,12500.0,527.0,6498363.645786458,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,12600.0,487.0,6030650.665296971,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,12700.0,476.0,5958414.99325307,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,12800.0,467.0,5892498.714360635,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,12900.0,478.0,6112796.332328772,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,13000.0,477.0,6132428.453915031,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,13100.0,431.0,5556768.217697283,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,13200.0,389.0,5089419.535889858,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,13300.0,433.0,5706820.497650085,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,13400.0,407.0,5400641.936558473,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,13500.0,419.0,5615965.47846243,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,13600.0,398.0,5347818.201385563,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,13700.0,386.0,5240167.535315583,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,13800.0,376.0,5133740.254705482,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,13900.0,414.0,5724433.8883948,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,14000.0,347.0,4752077.766980916,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,14100.0,400.0,5586794.034895671,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,14200.0,396.0,5546628.377034417,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,14300.0,306.0,4327372.759628845,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,14400.0,372.0,5276152.2187557435,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,14500.0,335.0,4819745.913811383,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,14600.0,309.0,4475878.341553919,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,14700.0,326.0,4770901.362702152,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,14800.0,327.0,4760753.37698581,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,14900.0,309.0,4546221.436452642,"{""type"":""MultiPoint"",""coordinates"":[]}"
