system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,318714.937254902,565.2045032785325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,174771.93333333338,4435288.80915628,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,22728.725490196077,3484539.0800062837,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,8888.756862745098,2449106.4207002097,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,4485.992156862745,1764220.5516017147,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,2655.8156862745095,1390183.9868493248,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,1916.9607843137255,1210513.7404307586,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,1413.2745098039215,1074446.309392268,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,1038.7333333333333,921276.5405051121,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,813.1764705882352,799481.1917099914,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,761.2274509803922,855041.9314360758,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,573.3254901960784,684953.8241764891,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,538.5529411764705,718528.0151323276,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,447.99607843137255,624976.1958222757,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,399.4901960784314,601821.5123355198,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,347.843137254902,568439.2406556393,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,302.7725490196078,525270.82634381,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,261.25098039215686,494414.6491225888,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,261.4980392156863,507194.877315911,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,204.0705882352941,407956.97000368277,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,186.76470588235293,408321.5855923811,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,188.40392156862745,421178.37374374096,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,166.19607843137254,379559.923660913,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,170.77254901960785,402852.23444453924,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,158.5450980392157,389566.10499039176,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,136.32941176470587,364561.5539916894,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,122.69411764705882,339281.0641303726,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,130.0,385528.1472988613,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,120.99607843137255,349403.5047386854,"{""type"":""MultiPoint"",""coordinates"":[]}"
