system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.5779645964705883E7,2039217.558262262,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4334100.035294119,8.52236501946806E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,116015.57254901959,3.2342467188323956E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,43834.266666666656,2.2031043286279876E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,23594.768627450976,1.748057709988753E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,15205.168627450981,1.456325727559001E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,11205.905882352943,1.341377857921045E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,8789.466666666665,1.255110426371237E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,7279.913725490198,1.193515530092031E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,6120.082352941177,1.1199347067343008E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,5116.184313725489,1.028727529774265E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,4636.35294117647,1.037300707422584E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4164.15294117647,1.0254779910597613E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3786.6470588235297,1.0127314987279128E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3466.192156862745,9838305.87546973,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3138.2941176470586,9280767.347449493,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2802.737254901961,8886965.681800492,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2646.8196078431374,8914535.322045023,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2309.7607843137253,8086286.105897229,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,2333.8313725490198,8671430.50834076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2095.9294117647064,8204051.209980901,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1929.2549019607843,7689282.545798825,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1774.9490196078434,7502405.022875007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1687.407843137255,7294732.712798706,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1580.6549019607842,7231195.500715925,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1451.8274509803919,6806891.659363729,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1439.1450980392158,7049864.961603033,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1299.4941176470586,6409198.539797109,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1262.643137254902,6347736.272130213,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1244.8313725490195,6612945.769224272,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1077.7254901960785,5818536.703204636,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,968.2941176470589,5360128.051757985,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,996.164705882353,5626154.925511878,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,955.1647058823528,5637182.9938221015,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,870.3843137254903,5093567.133295673,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,877.3960784313726,5303951.409267677,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,820.0941176470589,5298113.883563512,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,746.349019607843,4752513.339723243,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,672.1294117647059,4450784.774605442,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,692.4156862745099,4700908.687259111,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,648.7529411764706,4415073.645470717,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,609.192156862745,4311380.491630869,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,569.7607843137256,4121303.407420476,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,561.121568627451,4121814.989132885,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,544.035294117647,4200125.386127532,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,501.41960784313727,3905482.484848041,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,451.07058823529405,3451280.3447922133,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,470.0705882352941,3697666.760427998,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,456.65098039215684,3636496.276667154,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,395.5098039215686,3125874.339733281,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,382.18039215686275,3132715.697187836,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,357.278431372549,3013139.907550059,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,361.74117647058824,2987699.451536259,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,323.33725490196076,2678559.6804998815,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,339.6117647058824,2974114.9517929982,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,367.02352941176474,3254271.1881767767,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,295.5921568627451,2571509.738197486,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,308.3921568627451,2819237.114811895,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,311.44313725490196,2895478.9802878196,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,290.22352941176473,2675566.1715858947,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,277.00392156862745,2636024.556997565,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,250.0078431372549,2275242.342635134,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,243.20784313725486,2281869.9832718293,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,257.4980392156863,2445576.736561932,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,255.43529411764703,2477235.796847649,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,256.71372549019605,2568713.328097974,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,242.80392156862746,2412159.6512606554,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,222.23921568627452,2215848.8988212543,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,230.33333333333331,2349450.2867554496,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,235.95686274509802,2388487.3456593095,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,197.73333333333335,2031773.2109325412,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,197.85098039215686,2118694.424411512,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,191.09019607843138,2017229.1606105575,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,177.50196078431372,1909585.461275878,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,165.52156862745096,1752684.1268822919,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,181.1764705882353,2001362.0032051424,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,161.38431372549022,1840628.4429079394,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,168.58823529411765,1906086.8264142848,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,145.42745098039217,1598183.6466266853,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,130.9294117647059,1602604.3470192994,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,162.4,1897608.7667119843,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,131.09019607843138,1508872.36728088,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,164.6,1957992.6253343502,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,135.07450980392156,1698054.425339836,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,106.18039215686275,1320528.9187077822,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,121.87450980392157,1504765.4736451798,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,107.70196078431373,1389415.6689053408,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,125.66274509803921,1559932.7587483549,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,113.91764705882353,1437332.497760181,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,103.91764705882353,1279422.2466822572,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,97.88235294117646,1242705.8374801995,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,96.2156862745098,1218852.7633289464,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,87.9843137254902,1140576.6429714037,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,103.45098039215686,1319879.6677682293,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,90.87450980392157,1264223.5602704522,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,88.91764705882353,1112985.191613081,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,83.18039215686275,1115413.0522933537,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,79.86274509803921,1078712.3471872164,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,83.89019607843139,1180328.5196552726,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,90.89411764705882,1280693.5746712724,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,85.96470588235294,1225930.9967253152,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,85.61176470588235,1224246.262361755,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,74.85490196078432,1084365.647634652,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10300.0,80.81960784313725,1121480.0397315086,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,10400.0,63.819607843137256,956202.0461999123,"{""type"":""MultiPoint"",""coordinates"":[]}"
