system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.5826383E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4340438.0,4.7341047497235164E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,144801.0,2.011119117481308E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,56426.0,1.3618455220265975E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,30711.0,1.0487700774391796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,19466.0,8573021.778261974,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,13865.0,7481832.8386975285,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,10698.0,6835930.448969941,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,8499.0,6255440.294412796,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,7114.0,5946437.219033791,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,5945.0,5563169.220202435,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,5340.0,5508867.822575516,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4627.0,5259162.88833659,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,4052.0,4973403.131764816,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3802.0,5061535.339854967,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3499.0,4993580.7080972735,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,3143.0,4809870.730644634,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2914.0,4758652.574199131,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2682.0,4627345.454548353,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,2571.0,4690989.895923622,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2441.0,4697486.731204425,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,2267.0,4578164.414920933,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,2130.0,4518374.8826605575,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2049.0,4553421.596597659,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1866.0,4346421.826755546,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1816.0,4379408.617825063,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1708.0,4293249.437890285,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1654.0,4329765.016481652,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1542.0,4197239.03408956,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1485.0,4194782.576553942,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1410.0,4105996.15373434,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1482.0,4460795.892905377,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1315.0,4105062.7164957533,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,1308.0,4222061.758011666,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,1189.0,3946645.740335576,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,1101.0,3779383.619948911,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1160.0,4070752.0890883873,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,1101.0,3982441.25716095,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,993.0,3689379.664184288,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,942.0,3585596.5284594875,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,973.0,3806281.8297363366,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,893.0,3576369.225640806,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,902.0,3714840.3172535915,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,866.0,3640807.332029128,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,831.0,3591341.1128055267,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,776.0,3424708.461214399,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,750.0,3384317.767025235,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,726.0,3344989.386550916,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,702.0,3302249.510172947,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,677.0,3250750.761270131,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,639.0,3142842.0706552616,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,678.0,3410871.20525997,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,636.0,3241515.169211104,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,601.0,3119204.94324297,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,556.0,2946987.9256308586,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,553.0,2996441.6452879533,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,536.0,2956849.693293752,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,515.0,2882712.2136969995,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,492.0,2808229.793843026,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,491.0,2854942.6452656896,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,485.0,2873523.4589752182,"{""type"":""MultiPoint"",""coordinates"":[]}"
