system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,9583130.137254901,336814.08405931527,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1007441.8784313723,2.5798474474745136E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,62407.137254901936,1.6511531712715596E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,25817.69411764706,1.201903389247356E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,14569.556862745098,9800323.180246212,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,9406.400000000001,8274675.708323345,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,6776.752941176471,7317588.299011264,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,5131.290196078431,6567469.39218577,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,4057.7176470588242,6121944.621973497,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,3408.3921568627457,5653029.563129675,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,2875.843137254902,5343755.974879438,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,2319.2941176470586,4839268.1270922795,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,2045.61568627451,4577873.641225698,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,1800.2078431372547,4310796.71452282,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,1569.2039215686275,4111680.613761574,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,1504.1843137254903,4237924.652805639,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,1363.670588235294,4061379.3078653812,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,1197.764705882353,3728188.8067502305,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,1080.4745098039214,3638149.5489507434,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,987.537254901961,3476912.3965803566,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,899.878431372549,3303711.6437537037,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,835.3058823529411,3213572.237575085,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,784.1098039215688,3108889.1909337305,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,714.8470588235293,3004824.1019900627,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,685.3725490196078,3014142.83179268,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,644.2627450980392,2867763.212309659,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,602.3725490196078,2803967.5613604183,"{""type"":""MultiPoint"",""coordinates"":[]}"
