system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.4916048E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4148506.0,4.253646114001456E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,122936.0,1.7060209451740287E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,53799.0,1.3001358109423976E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,33788.0,1.156908852130102E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,24835.0,1.096770562154407E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,19286.0,1.044621521794974E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,15649.0,1.0036377157957314E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,13059.0,9689611.431868732,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,11110.0,9330231.236370504,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,9633.0,9070207.433455165,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,8309.0,8637782.93180616,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,7116.0,8118418.462291099,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,5943.0,7363024.940163734,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,5198.0,6960690.272446144,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,4523.0,6490174.101719861,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,3993.0,6131085.249006461,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,3330.0,5445388.020285852,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2945.0,5112998.909734946,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,2632.0,4834300.775067629,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2218.0,4300394.059361795,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1883.0,3835600.2990167798,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1786.0,3803423.3876109226,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1384.0,3076842.7913584504,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1238.0,2882845.238770629,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1139.0,2765196.482050314,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,998.0,2521570.393750384,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,830.0,2179994.162749228,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,786.0,2130749.960327772,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,704.0,1979994.9980845612,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,632.0,1826563.8956036982,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,538.0,1622463.261282253,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,501.0,1563441.853569273,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,441.0,1410312.9145059069,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,412.0,1363401.8004297563,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,345.0,1178555.4182854842,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,335.0,1175863.1871293786,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,304.0,1099407.5358105726,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,251.0,927016.2267313731,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,255.0,969679.719080664,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,253.0,981414.9817713068,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,203.0,809775.0370187466,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,197.0,805828.9711098219,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,194.0,809960.1370568064,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,203.0,867126.1985499315,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,134.0,580294.731333981,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,147.0,654581.1785824462,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,116.0,535246.7694372459,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,126.0,582752.3641385145,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,108.0,516234.7419188712,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,119.0,584064.5834383639,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,109.0,544578.3790133914,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,85.0,433277.2643225882,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,103.0,536973.6149928647,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,79.0,416635.8021681678,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,79.0,423855.9231400048,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,75.0,406476.3108377414,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,86.0,484125.05276223866,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,72.0,405908.98731151025,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,79.0,455875.04936791764,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,59.0,345849.5477310704,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,58.0,349708.83188226284,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,65.0,393246.7101383052,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,45.0,276377.83451652207,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,53.0,336368.08707024506,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,39.0,249036.40059141364,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,56.0,360073.4587220492,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,47.0,307068.7439908591,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,50.0,331280.32532872143,"{""type"":""MultiPoint"",""coordinates"":[]}"
