system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,2078034.611764706,763972.531137687,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1684327.9098039216,7.582987385264312E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,366209.18823529413,7.720702259812832E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,185298.11764705883,6.590732107902106E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,111184.59215686277,5.500550722071088E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,73099.53725490198,4.571437430479318E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,51635.23921568628,3.892285260926878E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,37826.8274509804,3.338064098179048E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,28823.592156862742,2.9088892074272253E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,22363.796078431376,2.5292119265649717E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,17829.341176470585,2.2258641581741005E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,14658.45490196079,2.0124099756642263E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,11985.176470588238,1.788766389051513E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,10225.243137254902,1.6530928095373502E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,8712.796078431373,1.5214804177157901E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,7392.701960784315,1.3739465567071315E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6440.921568627451,1.2786042158668602E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5597.149019607843,1.1718808550823903E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,4869.917647058823,1.078037009147433E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4516.713725490196,1.0505439229271328E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,3948.4352941176476,9738377.27371933,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,3518.3294117647056,9045012.345825803,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,3171.7450980392155,8502104.40541368,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2846.8274509803923,7930496.461246459,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2654.3764705882354,7816849.58906153,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,2425.41568627451,7366148.641022929,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,2183.145098039215,6902946.8899805285,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,2073.1372549019607,6819881.014655063,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1961.0352941176473,6668369.736657135,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1734.8078431372553,6012465.553144168,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1673.2549019607845,6009019.615123746,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1537.7686274509806,5749204.028034586,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1353.349019607843,5147106.961319248,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,1355.2,5435379.226737641,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,1239.8784313725491,5058808.067508334,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,1174.098039215686,4958905.32513929,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1105.3686274509803,4767570.081875995,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,999.5098039215687,4404806.378897145,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,962.5607843137255,4412091.459518867,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,941.0000000000001,4363737.412297439,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,845.7333333333333,4069339.1611646973,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,785.5294117647059,3816210.129922945,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,751.2705882352941,3658034.896742881,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,788.9176470588235,4055478.0382451713,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,685.5568627450981,3595028.394132155,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,683.4823529411765,3623677.0694953837,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,630.2901960784313,3430666.878842817,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,621.2470588235295,3451822.452854693,"{""type"":""MultiPoint"",""coordinates"":[]}"
