system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1964415.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1189970.0,3.694016963477954E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,373482.0,5.433742064683636E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,252190.0,6.2126844795999974E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,183205.0,6.344163215205819E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,139961.0,6.241602476500715E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,108096.0,5.89714351316951E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,85382.0,5.5089640967265345E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,69132.0,5.146881124853787E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,55823.0,4.714382210225232E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,46426.0,4.378934679819911E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,38429.0,4.009157880677475E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,32700.0,3.735554354822001E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,27500.0,3.414767042693358E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,23790.0,3.1927264365966417E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,20409.0,2.942012738904317E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,17656.0,2.71892660758406E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,15460.0,2.536811808998667E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,13589.0,2.3641277964541253E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,12140.0,2.2309741521278042E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,10843.0,2.10425367594964E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,9469.0,1.93153091644228E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,8410.0,1.7980529318683483E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,7617.0,1.7046404252370857E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,6850.0,1.600272771855671E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,6313.0,1.5353599075311594E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,5662.0,1.4361732527751155E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,5110.0,1.3452032957233956E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,4713.0,1.2890582165980542E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,4301.0,1.220149522085185E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,4051.0,1.1893468994216202E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,3657.0,1.1091815700975023E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,3299.0,1.0349034915292304E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,3089.0,1.0009810604394123E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,2854.0,9515524.830260202,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,2643.0,9067355.00918874,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,2493.0,8805893.404036485,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,2318.0,8414283.841732485,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,2220.0,8294129.857291259,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,2018.0,7734457.04731137,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,1925.0,7580741.443779619,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,1818.0,7327765.518071901,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,1745.0,7205479.244374607,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,1617.0,6831394.590727608,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,1561.0,6743856.934000156,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,1503.0,6657302.286585985,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,1420.0,6441668.927559965,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,1458.0,6743256.108484662,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,1263.0,5963131.6939713,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,1221.0,5894293.053333286,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,1127.0,5545242.389843038,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,1120.0,5643843.278522038,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,1024.0,5252802.15258546,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,1022.0,5356769.326755609,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,987.0,5275470.975354594,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,933.0,5070067.468234381,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,886.0,4893303.612250584,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,874.0,4914436.598441882,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,793.0,4532892.376035676,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,791.0,4606130.993719588,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,779.0,4611326.368454183,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,755.0,4543608.214283422,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,701.0,4277036.394949384,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,702.0,4384289.180644326,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,720.0,4540682.048900341,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,621.0,3985699.7776656873,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,644.0,4206212.529135209,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,610.0,4054467.2714331984,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,576.0,3870584.031148624,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,577.0,3941925.460354662,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,544.0,3755477.245003807,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,557.0,3896745.7460265816,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,519.0,3690773.9371692007,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,510.0,3677038.9262742843,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,511.0,3751833.452911259,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,496.0,3684172.3130992996,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,458.0,3457447.3440141613,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,454.0,3455435.651646531,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,463.0,3575901.175167856,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,427.0,3339613.7796022445,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,410.0,3247202.1370485183,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,418.0,3363479.3965225155,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,415.0,3371987.9952122695,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,411.0,3388677.6025330857,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,405.0,3369593.718369841,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,384.0,3236659.180090967,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,371.0,3172616.165340855,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,376.0,3230320.9721409846,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,370.0,3233840.3341093925,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,336.0,2961517.117357091,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,346.0,3086237.8055965244,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,314.0,2826215.1865114467,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,348.0,3165646.148916678,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,301.0,2775346.889849684,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,330.0,3084468.66699679,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,358.0,3379292.073260623,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,308.0,2927956.9892080724,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,286.0,2756746.818396375,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,315.0,3065741.45287432,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,281.0,2756945.2090781387,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,322.0,3198985.513280236,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,279.0,2801716.335394416,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,298.0,3013398.9613164226,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10300.0,248.0,2539056.257577996,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,10400.0,278.0,2876469.171533415,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10500.0,253.0,2621399.1936586592,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,10600.0,263.0,2737233.9155820566,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,10700.0,236.0,2499434.1601785296,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,10800.0,225.0,2398125.076993637,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,10900.0,276.0,2988710.7166881887,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,11000.0,239.0,2616615.046344321,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,11100.0,254.0,2801765.3083374547,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,11200.0,218.0,2422386.693203776,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,11300.0,245.0,2742448.830646537,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,11400.0,215.0,2437193.9569617733,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,11500.0,213.0,2433972.0912506497,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,11600.0,260.0,2991544.5872943196,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,11700.0,205.0,2387024.994718953,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,11800.0,193.0,2260009.2763993787,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,11900.0,222.0,2609965.278446093,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,12000.0,214.0,2540269.809124413,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,12100.0,180.0,2157069.4528285144,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,12200.0,229.0,2775090.044570499,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,12300.0,214.0,2621024.7909042155,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,12400.0,193.0,2383636.3104611496,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,12500.0,216.0,2685628.3319859393,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,12600.0,187.0,2345776.352393967,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,12700.0,189.0,2380660.205855493,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,12800.0,188.0,2376907.4905563323,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,12900.0,206.0,2635726.9082695786,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,13000.0,205.0,2644531.699556437,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,13100.0,168.0,2181748.897389681,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,13200.0,198.0,2602626.323890782,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,13300.0,168.0,2222300.470165979,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,13400.0,194.0,2570383.707162813,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,13500.0,166.0,2214257.7010604525,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,13600.0,156.0,2113989.7448796295,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,13700.0,185.0,2508050.294957062,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,13800.0,168.0,2309572.960710378,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,13900.0,163.0,2257862.2456458863,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,14000.0,159.0,2197703.0323204873,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,14100.0,167.0,2342726.903321665,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,14200.0,139.0,1966360.2213823479,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,14300.0,155.0,2208485.8586164527,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,14400.0,155.0,2218080.5563060567,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,14500.0,154.0,2202255.971227023,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,14600.0,150.0,2182368.781541584,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,14700.0,139.0,2022195.3862559586,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,14800.0,150.0,2212581.3255556617,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,14900.0,149.0,2210655.125765667,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,15000.0,156.0,2321253.7617902677,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,15100.0,162.0,2419251.528573222,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,15200.0,129.0,1950577.664162227,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,15300.0,140.0,2135146.7899778746,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,15400.0,157.0,2388216.069071017,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,15500.0,145.0,2223066.8501167875,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,15600.0,151.0,2345766.114996261,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,15700.0,130.0,2025811.5117057145,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,15800.0,132.0,2078967.9853740558,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,15900.0,131.0,2074949.435051292,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,16000.0,125.0,1993686.0647577941,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,16100.0,153.0,2448128.2615473643,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,16200.0,146.0,2357776.602389752,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,16300.0,121.0,1949791.8708496825,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,16400.0,128.0,2074282.4157623362,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,16500.0,133.0,2176906.286430246,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,16600.0,112.0,1850448.1546744949,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,16700.0,113.0,1873797.676552883,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,16800.0,111.0,1859172.1965922322,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,16900.0,113.0,1895166.6527985479,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,17000.0,104.0,1761920.3449186855,"{""type"":""MultiPoint"",""coordinates"":[]}"
