system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.6661851E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5062290.0,8.323259003383471E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,517294.0,7.343471734394494E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,249067.0,6.064094062248375E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,145092.0,4.989844418753549E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,93035.0,4.125354159644581E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,63407.0,3.4459038629926644E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,45053.0,2.895997516800813E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,32781.0,2.433086494246879E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,24914.0,2.096093488214073E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,19316.0,1.819022357319866E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,15300.0,1.5910144163528131E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,12198.0,1.3891321290974237E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,10224.0,1.264267697333432E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,8446.0,1.1291062499367388E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,7401.0,1.0612091197043313E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6268.0,9625883.04197228,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5524.0,9034540.439383563,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,5047.0,8753526.582866807,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4470.0,8196359.291597375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,4082.0,7899147.620795265,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,3757.0,7635785.406835964,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,3330.0,7107974.761193825,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,3123.0,6952165.960177529,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2904.0,6755452.750775492,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,2689.0,6533810.445528137,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,2513.0,6348320.687121894,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,2406.0,6325022.639998868,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,2209.0,6029597.751087021,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,2177.0,6131632.425201222,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,2014.0,5892995.248750173,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1897.0,5734482.901573949,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1739.0,5426429.091179738,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,1695.0,5447909.167933948,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,1673.0,5555698.73578901,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,1577.0,5364253.313656388,"{""type"":""MultiPoint"",""coordinates"":[]}"
