country,PopChange_2010-2020
Montenegro,68658.0379295134
Serbia,642814.5667565932
South Sudan,5230689.955587351
Sudan,1.5856979788293792E7
Taiwan,1962590.7828953816
Cocos (Keeling) Islands,0.10128752293211281
Christmas Island,969.4527114403679
Ashmore and Cartier Islands,0.0
Faroe Islands,8716.949736507266
Mayotte,96934.2388980075
Réunion,109293.14998955054
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,745.6526611247998
French Southern and Antarctic Territories,0.0
Denmark,750451.850638566
The former Yugoslav Republic of Macedonia,161924.7035553111
Croatia,173878.8572136631
Malta,118103.14241116626
San Marino,3305.2201125247434
Slovenia,166207.02598597825
Greece,209840.81480832235
Italy,3026798.8853882346
Portugal,468027.40931434877
Spain,4718160.218989981
Bosnia and Herzegovina,188059.8953519889
Andorra,13421.160584817797
Albania,486379.8219335272
Monaco,387.84884618892914
Netherlands,1835128.413090275
Luxembourg,192852.68412927707
Liechtenstein,6189.217343487557
France,6411963.176542928
Germany,7282994.160746034
Switzerland,1270526.7064492395
Belgium,1291001.500594257
Austria,1114455.4166237048
Australia,873606.5103868197
Palau,3439.725394562956
Canada,2878112.1501205163
Canada,189298.67394532816
Canada,29734.10736488897
Mozambique,1.0881503593312105E7
Mauritius,103177.38799882743
Malawi,6091465.523908749
Rwanda,4247989.4419121
Somalia,6513250.5265499605
Zambia,5722632.490512183
Kenya,2.113714915704882E7
Madagascar,8478726.993795045
Seychelles,12775.604223712366
United Republic of Tanzania,2.1342162048507623E7
Uganda,1.6168227585037494E7
Zimbabwe,6086756.739856659
Ethiopia,5.405113320734192E7
Eritrea,1013542.3138255667
Djibouti,253433.32000166588
Comoros,150999.618801737
Burundi,4715835.217582868
Gabon,642150.3745178953
Equatorial Guinea,910094.2073450325
Chad,5472317.928794222
Sao Tome and Principe,37200.00785149089
Congo,2001687.5530927498
Democratic Republic of the Congo,2.9886494867331274E7
Cameroon,7188384.453078269
Central African Republic,754668.5677599073
Angola,1.4578428129667262E7
Morocco,5716279.876464551
Libya,1003796.1130696926
Tunisia,1837986.845882951
Egypt,2.57455791753539E7
Algeria,9496711.372528194
Namibia,769133.3517163288
Swaziland,487988.6235029263
Lesotho,616038.3408972574
South Africa,1.20790991429405E7
Botswana,520179.9870082054
Togo,2106243.9160300656
Sierra Leone,1841834.845114028
Senegal,4108478.5194728444
Nigeria,5.0907251101563655E7
Niger,8674840.864404725
Mauritania,1757627.3511852475
Mali,6063314.934276456
Liberia,1154367.0447198793
Guinea-Bissau,464417.0022827934
Gambia,677147.2577815738
Guinea,3249032.5367152374
Ghana,7367102.729940803
Cape Verde,138846.1111219028
Côte d'Ivoire,6099634.16551672
Burkina Faso,7688670.594608586
Benin,3300170.2494124207
Brazil,2.0117554537249535E7
Turkmenistan,1280829.3121740008
Uzbekistan,6701243.767623949
Tajikistan,2558009.9218991366
Kyrgyzstan,1356560.7280961776
Kazakhstan,4399996.96109396
Mongolia,975377.9857651985
Republic of Korea,6210121.049793478
Dem People's Rep of Korea,4227995.961752921
China,2.849161775347261E8
Myanmar,8370274.376991963
Cambodia,3936050.5423938604
Viet Nam,1.6459003794345755E7
Lao People's Democratic Republic,1751945.1193275747
Malaysia,5675167.378043975
Thailand,1.1657176269566165E7
Brunei Darussalam,65516.68613895144
Philippines,2.2417426997235186E7
Indonesia,3.26699567340197E7
Singapore,848846.3845569805
Timor-Leste,283522.19878190046
Maldives,121051.3230773021
Nepal,8978055.130317012
Pakistan,5.605479295047979E7
India,2.9263598748975E8
Iran  (Islamic Republic of),1.669144566658563E7
Sri Lanka,5190512.815614066
Bhutan,216352.01870784935
Bangladesh,3.503081001089581E7
Afghanistan,1.5225400680065587E7
Oman,1948567.611654238
Kuwait,1604366.7043298595
Lebanon,870912.5228954675
Qatar,1211722.328582642
Saudi Arabia,9560949.324928813
Turkey,1.6581203927020509E7
Yemen,8584137.677300205
Iraq,1.362838452063768E7
Jordan,4720550.262136952
Syrian Arab Republic,1301272.2891801852
Israel,1679265.6759403308
Georgia,260406.98289065345
Cyprus,169732.4674545432
Bahrain,332478.0881948507
Azerbaijan,1657295.2024186538
Armenia,100569.90667390185
United Arab Emirates,2521651.7174301855
"Moldova, Republic of",66455.8657121661
Hungary,554736.898132155
Poland,3631127.590380864
Romania,1092281.4302444663
Ukraine,2134158.483629487
Belarus,1108901.876326092
Czech Republic,968506.6763310365
Slovakia,458696.24723919
Bulgaria,318759.6919952131
Norway,1090413.2356309409
Sweden,2130318.6568344696
Lithuania,157397.8525351496
Latvia,52181.19602022579
Ireland,855943.9158237394
Iceland,110251.29911066059
U.K. of Great Britain and Northern Ireland,7781235.810561257
Finland,786214.706723468
Estonia,248009.4970386192
Svalbard and Jan Mayen Islands,2578.6775399245466
Madeira Islands,18601.42207713024
Azores Islands,1776.372189311745
British Indian Ocean Territory,0.0
Guernsey,4199.808075721143
Jersey,18255.189141939998
Isle of Man,8327.037983374343
Holy See,39.293573827530246
Greenland,3342.9166230971236
Western Sahara,154569.8290367181
Gaza Strip,439380.27012729406
West Bank,21172.960688070347
West Bank,770448.070767558
Gibraltar,1173.9696059814376
Saint Helena,268.7254438913227
Macau,106820.75617953969
Hong Kong,509003.55345114355
Abyei,19057.496495987427
Ilemi triangle,6106.00644275887
Hala'ib triangle,1131.570081199136
Ma'tan al-Sarra,0.0
Paracel Islands,84.85574756709529
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,67.8498940244317
Aksai Chin,664.4179632253945
Spratly Islands,0.0
Jammu and Kashmir,4874051.705129331
Arunachal Pradesh,302214.9647017043
Norfolk Island,2.6096815195938974
Wallis and Futuna,21.553126986837924
