country,Population2030
Montenegro,816872.8394363412
Serbia,1.1873924023547009E7
South Sudan,1.2620716870471E7
Sudan,5.900625268466627E7
Taiwan,2.60638889145458E7
Cocos (Keeling) Islands,469.5443920540687
Christmas Island,4167.918363912523
Ashmore and Cartier Islands,0.0
Faroe Islands,111280.04325377716
Mayotte,421232.55093468504
Réunion,1101993.2689123133
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,7809.999952321053
French Southern and Antarctic Territories,0.0
Denmark,1.066736584299179E7
The former Yugoslav Republic of Macedonia,2777763.743457034
Croatia,5373259.626972071
Malta,662365.5124590211
San Marino,42972.266935621985
Slovenia,3010013.654332263
Greece,1.2304112897296876E7
Italy,7.841832923031127E7
Portugal,1.2417713200745821E7
Spain,6.017562511298575E7
Bosnia and Herzegovina,4341398.650955892
Andorra,108219.67673444343
Albania,3697570.30435811
Monaco,12611.461794793224
Netherlands,2.900617134511236E7
Luxembourg,1083078.8380346338
Liechtenstein,58884.141755988
France,9.574473663114806E7
Germany,1.311033277315195E8
Switzerland,1.3407407764033578E7
Belgium,1.8794566614199713E7
Austria,1.3485602128978271E7
Australia,6428661.163366641
Palau,17032.918387874237
Canada,3.3923386370156825E7
Canada,3357154.0764511204
Canada,750025.8246276446
Mozambique,4.308777788008413E7
Mauritius,1386426.9179429787
Malawi,2.577991804757799E7
Rwanda,1.6378222467948586E7
Somalia,2.23932799006326E7
Zambia,2.5376163304458357E7
Kenya,6.324714899703071E7
Madagascar,3.7752713920001894E7
Seychelles,107713.35635844743
United Republic of Tanzania,8.224191732400382E7
Uganda,5.8485518464175664E7
Zimbabwe,2.024630319373117E7
Ethiopia,1.5115924647520393E8
Eritrea,4400419.200732758
Djibouti,1269117.4392148922
Comoros,965464.5703663027
Burundi,1.5815286720563123E7
Gabon,2755956.234046762
Equatorial Guinea,1987946.7331016436
Chad,2.2867796514443163E7
Sao Tome and Principe,265037.1956813713
Congo,7037027.537230425
Democratic Republic of the Congo,1.2843785814157757E8
Cameroon,3.416502342578369E7
Central African Republic,7131464.51346305
Angola,4.578371948175476E7
Morocco,4.806991805617453E7
Libya,8718331.226516426
Tunisia,1.6140899935814034E7
Egypt,1.437300956386656E8
Algeria,6.112201575025347E7
Namibia,3129644.596644736
Swaziland,1457405.9302733121
Lesotho,2872117.4031147975
South Africa,7.360686894540145E7
Botswana,3232127.1839897633
Togo,1.0536069157286437E7
Sierra Leone,1.0198532880152445E7
Senegal,2.178587931116231E7
Nigeria,2.6583645390811417E8
Niger,3.618887157805512E7
Mauritania,6080252.037458389
Mali,2.9526914579132117E7
Liberia,6319821.627921212
Guinea-Bissau,2538067.885161384
Gambia,3399911.935403795
Guinea,1.689668304390029E7
Ghana,3.9183351661270395E7
Cape Verde,618825.373701973
Côte d'Ivoire,3.445807162707528E7
Burkina Faso,2.8133461523822974E7
Benin,1.650573920122793E7
Brazil,2.3669096640758592E8
Turkmenistan,9045705.982813522
Uzbekistan,5.034284801541753E7
Tajikistan,1.4664633702708839E7
Kyrgyzstan,9859925.990858028
Kazakhstan,3.091693034320279E7
Mongolia,5569122.387179763
Republic of Korea,6.243105614604721E7
Dem People's Rep of Korea,3.384798708995325E7
China,1.686651376997355E9
Myanmar,5.9477090170520745E7
Cambodia,1.8336672739616286E7
Viet Nam,1.0650036269218968E8
Lao People's Democratic Republic,8733029.877209762
Malaysia,3.6236815988605656E7
Thailand,7.470801219567685E7
Brunei Darussalam,478051.86757631565
Philippines,1.2835170965730998E8
Indonesia,2.8881857521555996E8
Singapore,6171572.080255443
Timor-Leste,1504895.7687366742
Maldives,416126.4503601115
Nepal,3.729458781459985E7
Pakistan,3.125038478828934E8
India,1.6291383092143636E9
Iran  (Islamic Republic of),1.1196670672434644E8
Sri Lanka,2.2304016761373155E7
Bhutan,984022.6401639339
Bangladesh,2.013290341753779E8
Afghanistan,6.1092584126470156E7
Oman,5443927.293981154
Kuwait,5162893.17995239
Lebanon,5316541.416062213
Qatar,3146875.174930889
Saudi Arabia,4.404182347228998E7
Turkey,1.1213793357930928E8
Yemen,4.099395055706719E7
Iraq,6.3559803203156404E7
Jordan,1.4070655330812413E7
Syrian Arab Republic,3.607699309023114E7
Israel,1.1707822411447145E7
Georgia,4908761.855084599
Cyprus,1599490.1158272505
Bahrain,1171415.1883268792
Azerbaijan,1.3947608724145902E7
Armenia,3618903.2738165963
United Arab Emirates,1.0889416040664097E7
"Moldova, Republic of",4656760.001545025
Hungary,1.4221758288250564E7
Poland,6.2530584625210956E7
Romania,2.7264891526833855E7
Ukraine,5.8039641921631515E7
Belarus,1.5530922709397892E7
Czech Republic,1.6300959809929872E7
Slovakia,8386550.387487217
Bulgaria,8510725.647849087
Norway,1.1110325160287263E7
Sweden,2.0851884918208107E7
Lithuania,4473474.873019335
Latvia,3081026.1693823324
Ireland,8671051.907264234
Iceland,862924.5778647779
U.K. of Great Britain and Northern Ireland,1.1332308649879739E8
Finland,1.1536054757576494E7
Estonia,2501981.413789651
Svalbard and Jan Mayen Islands,15141.18574489846
Madeira Islands,305006.2570295291
Azores Islands,271194.9497245058
British Indian Ocean Territory,0.0
Guernsey,98556.54261566557
Jersey,177957.64551383836
Isle of Man,144507.3285407109
Holy See,1565.0992080525332
Greenland,74939.0220427028
Western Sahara,714277.7714939553
Gaza Strip,2643205.30756894
West Bank,148090.8485462616
West Bank,4683581.010179898
Gibraltar,30196.83330712069
Saint Helena,5239.965078995087
Macau,593186.1240709521
Hong Kong,6672193.1658950625
Abyei,34175.22286551492
Ilemi triangle,29628.21575978483
Hala'ib triangle,5465.472245907958
Ma'tan al-Sarra,0.0
Paracel Islands,477.3958873620147
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,873.1849767379463
Aksai Chin,5600.362775425752
Spratly Islands,0.0
Jammu and Kashmir,2.6172229751617584E7
Arunachal Pradesh,1445922.2874131324
Norfolk Island,2136.2246101674964
Wallis and Futuna,11267.782813196562
French Polynesia,323180.49371359224
New Zealand,7005823.6085613035
Australia,9491152.207406424
Australia,1.7847329069254156E7
Papua New Guinea,1.1118532847983638E7
Vanuatu,393536.29660992866
Solomon Islands,835649.3794889456
Fiji,922848.310828654
Marshall Islands,37664.191967989085
Nauru,12547.188260121982
Micronesia (Federated States of),114885.07935612954
Kiribati,142754.29901992308
Samoa,247494.15828303486
Tonga,119354.74527379771
Tuvalu,10388.975777161015
Canada,8653.191542506209
Canada,7905104.333694068
Canada,1014787.9780857014
Canada,1.088924009397354E7
Canada,2435641.268487024
Canada,45644.186774982794
Canada,49598.12947146716
United States of America,1.2056339995491174E8
United States of America,1.4637750702121884E8
United States of America,2.639543404723738E7
Japan,1.4269798429128397E8
Russian Federation,2.4248215939566427E8
Cook Islands,18044.933880872017
Niue,2175.331270386592
Northern Mariana Islands,51700.06885328533
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,332525.3559352041
Tokelau,1651.1946196992753
Guam,185084.57506292267
American Samoa,41759.1674990312
Kuril islands,18767.374921999006
Martinique,367157.81682410743
Guadeloupe,455185.3573572455
Clipperton Island,0.0
Dominica,75343.1348471128
Dominican Republic,1.265942233468715E7
Antigua and Barbuda,100935.73872365653
Cuba,1.1857017302725416E7
Grenada,125223.41267694798
Jamaica,2939844.8846758604
Saint Kitts and Nevis,49433.961921407084
Trinidad and Tobago,1570922.5306851668
Bahamas,466412.9463387544
Saint Lucia,186356.7437164044
Saint Vincent and the Grenadines,110642.37169929133
Barbados,290298.85406872455
Haiti,1.334345633308869E7
Panama,4896558.407464812
El Salvador,6755090.932598003
Nicaragua,7875371.2318835035
Mexico,1.4451167578179485E8
Honduras,1.209371870258858E7
Guatemala,2.0703307815445717E7
Costa Rica,5514010.423737732
Belize,468441.35366004426
United States of America,3.2594074817439016E7
United States of America,1.2089829040191534E8
Colombia,5.4555841871969864E7
Guyana,855156.5491310866
Ecuador,1.9475398031821895E7
French Guiana,366314.51886108774
Paraguay,8197029.400457477
Suriname,657378.391939049
Uruguay,4103502.9683033987
Venezuela,3.2435460484571055E7
Peru,3.722235157639948E7
Chile,2.4180054502733707E7
Bolivia,1.422940012845158E7
Netherlands Antilles,280491.0449474899
Navassa Island,0.0
Puerto Rico,3431388.093495907
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,106696.13438682124
Pitcairn,69.15685709948998
Cayman Islands,77773.74214105812
Montserrat,4485.980033959025
Turks and Caicos islands,50469.79932133884
British Virgin Islands,32815.25555678059
Anguilla,16449.8859969504
Bermuda,51408.76726909897
United States Virgin Islands,97215.3681789605
Falkland Islands (Malvinas),5459.535789740062
South Georgia and the South Sandwich Islands,0.0
Argentina,5.698325476882425E7
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
