system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.7956767074509785E7,5081344.485381526,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5778276.239215686,1.3253204016459537E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,222749.1529411764,5.645767578167369E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,81903.85490196079,3.620569989435693E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,42769.78039215685,2.685444826472141E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,25661.396078431375,2.0730659431103755E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,17220.93333333333,1.690168892821494E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,12332.133333333337,1.4383096424145421E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,9569.623529411765,1.307278641010023E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,7489.509803921567,1.1685661561480656E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,6148.0901960784295,1.0713087317155331E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,5064.04705882353,9609848.400444003,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4446.133333333332,9241544.089625543,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3713.6901960784317,8481814.842859717,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3191.4509803921565,7671616.244685329,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,2746.1137254901964,7020843.192317636,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2566.529411764706,7094403.440416169,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2283.8745098039212,6634264.823548726,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2028.949019607843,6360865.187060537,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1932.3921568627454,6325162.301745659,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1787.6549019607846,6179161.290786798,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1534.0117647058826,5487713.501741885,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1480.9764705882355,5476745.80249308,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1335.8,5181186.395233128,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1216.7529411764706,5007893.990522272,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1123.2745098039215,4828613.6182652805,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1061.2470588235294,4755188.224084881,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,997.1843137254903,4541535.50804092,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,984.3529411764706,4629723.054917461,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,871.2627450980394,4279979.209009131,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,833.1529411764704,4171507.441726697,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,789.7450980392156,4053722.3443774604,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,736.0352941176473,3840764.3298183614,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,693.1019607843137,3796395.7903965693,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,653.2156862745098,3620674.7118783807,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,639.5921568627451,3707480.6677638846,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,608.4235294117648,3532525.117890409,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,581.3019607843138,3507633.328399718,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,528.3215686274509,3299919.8547772006,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,502.3411764705882,3163746.8095888444,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,461.39607843137253,2877890.7998934863,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,468.9843137254902,3098725.071274321,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,414.09411764705885,2753426.7997354637,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,451.956862745098,3161453.572725118,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,391.70588235294116,2733832.697995159,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,420.07450980392156,3076536.826489492,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,414.5529411764706,3034934.246806514,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,367.3529411764706,2689730.297643576,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,360.4156862745098,2627108.162195809,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,339.57254901960783,2685681.160864983,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,321.5019607843137,2464709.0739475614,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,286.921568627451,2304321.8417029753,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,264.98431372549015,2093495.5844885656,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,310.1686274509804,2505238.0298416507,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,268.5607843137255,2172408.422923948,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,282.0666666666666,2467005.2331768326,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,257.6549019607843,2287488.063022274,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,245.3294117647059,2138604.560277982,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,236.71764705882353,2158647.585526703,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,231.56078431372552,2140572.1220697216,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,207.9764705882353,1906649.701412732,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,205.63529411764705,1899073.8705387712,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,213.50980392156862,1982469.8068359832,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,211.9686274509804,2050006.2856578836,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,185.0705882352941,1821635.9570828471,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,178.9372549019608,1763712.2073281205,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,164.17254901960786,1612628.943414295,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,159.65490196078431,1760657.806272626,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,160.0,1676587.4140298832,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,160.53333333333333,1660694.1109129074,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,168.67450980392158,1734781.850740343,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,159.54117647058825,1803854.9020949139,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,153.7372549019608,1713322.1814996137,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,132.80392156862746,1508480.4061613227,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,146.59607843137255,1540060.3972314675,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,135.5450980392157,1550213.153095092,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,99.4470588235294,1137294.200261584,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,123.47450980392156,1511866.2849727622,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,111.65098039215687,1327822.2268729662,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,116.51764705882351,1348163.9737580903,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,102.0,1219699.3917787895,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,101.32156862745097,1226379.16795106,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,123.18823529411765,1482112.2843500634,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,105.0,1303422.252359529,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,84.38823529411766,975585.2477656108,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,97.74117647058823,1293983.2057666194,"{""type"":""MultiPoint"",""coordinates"":[]}"
