country,Population2020
Montenegro,827037.3070444778
Serbia,1.2581709324890343E7
South Sudan,1.0678497103760745E7
Sudan,4.602630376213614E7
Taiwan,2.580915372760633E7
Cocos (Keeling) Islands,517.2779966413627
Christmas Island,3067.9160211106696
Ashmore and Cartier Islands,0.0
Faroe Islands,106939.25712543032
Mayotte,316735.5972479241
Réunion,1022092.2266234992
Tromelin Island,0.0
Juan de Nova Island,0.0
Glorioso Island,0.0
Europa Island,0.0
Bassas da India,0.0
Saint Pierre et Miquelon,8122.290208741702
French Southern and Antarctic Territories,0.0
Denmark,1.01721251003528E7
The former Yugoslav Republic of Macedonia,2831258.7795049073
Croatia,5716958.008193003
Malta,628649.444812225
San Marino,43396.33850599307
Slovenia,3028839.0175736975
Greece,1.2868508198530363E7
Italy,8.100133381738612E7
Portugal,1.2708135412228584E7
Spain,6.055666841326098E7
Bosnia and Herzegovina,4629313.5803407645
Andorra,103484.20377247944
Albania,3799624.028994369
Monaco,12160.930993693852
Netherlands,2.8180276190894652E7
Luxembourg,979655.7245008564
Liechtenstein,55371.115400716495
France,9.420759569271795E7
Germany,1.3203134101686114E8
Switzerland,1.267537209556464E7
Belgium,1.8301560527657308E7
Austria,1.3266084759893725E7
Australia,5913765.127706913
Palau,16979.911385136103
Canada,3.167795114582614E7
Canada,3247041.5846059034
Canada,743684.604025166
Mozambique,3.284948856704878E7
Mauritius,1379504.5515615009
Malawi,2.002957242923081E7
Rwanda,1.3145019705391869E7
Somalia,1.6614480427996742E7
Zambia,1.9459084379757263E7
Kenya,5.2102221032724485E7
Madagascar,2.992373610546261E7
Seychelles,102320.84081493424
United Republic of Tanzania,6.1979011227567144E7
Uganda,4.449898878019461E7
Zimbabwe,1.6541412220844215E7
Ethiopia,1.18679981021266E8
Eritrea,3653619.929615974
Djibouti,1109785.5251983267
Comoros,810581.9116313631
Burundi,1.2233008148310017E7
Gabon,2276611.580276077
Equatorial Guinea,1589455.702454885
Chad,1.6918849481996655E7
Sao Tome and Principe,218808.8656611092
Congo,5659892.10119338
Democratic Republic of the Congo,9.341159478996325E7
Cameroon,2.6570032091562442E7
Central African Republic,5367708.021059963
Angola,3.409526616248117E7
Morocco,4.384846002061148E7
Libya,7845430.81863819
Tunisia,1.4981842868594943E7
Egypt,1.2359064350519711E8
Algeria,5.338393451708755E7
Namibia,2671565.3862476414
Swaziland,1317355.8870235917
Lesotho,2587892.1868121284
South Africa,6.693198632233951E7
Botswana,2766838.020555258
Togo,8423470.604796007
Sierra Leone,8308603.779917371
Senegal,1.6953260548419844E7
Nigeria,2.1094202430105752E8
Niger,2.5011641472687773E7
Mauritania,4692107.190119772
Mali,2.182634907541056E7
Liberia,5121929.743616709
Guinea-Bissau,2058411.2806453293
Gambia,2680832.4865226042
Guinea,1.3424545314028412E7
Ghana,3.2530955977631062E7
Cape Verde,558630.7915310956
Côte d'Ivoire,2.700810867721709E7
Burkina Faso,2.201018744625768E7
Benin,1.2734625563504957E7
Brazil,2.2549568808641383E8
Turkmenistan,8037455.266604535
Uzbekistan,4.407380085392301E7
Tajikistan,1.2246435544860365E7
Kyrgyzstan,8512147.833407376
Kazakhstan,2.792359297880505E7
Mongolia,4914547.5932182595
Republic of Korea,6.304071403408053E7
Dem People's Rep of Korea,3.2973376982052498E7
China,1.6987131715705867E9
Myanmar,5.5747718041169405E7
Cambodia,1.6653232753388336E7
Viet Nam,1.004073549828439E8
Lao People's Democratic Republic,7682206.648370944
Malaysia,3.2782691428104263E7
Thailand,7.405365246171726E7
Brunei Darussalam,445844.54901412036
Philippines,1.1119971641595426E8
Indonesia,2.690579020986058E8
Singapore,5838523.600187603
Timor-Leste,1309171.1108719415
Maldives,423406.5732990442
Nepal,3.3028242143724263E7
Pakistan,2.5874430223871768E8
India,1.5018802684031878E9
Iran  (Islamic Republic of),1.0517602088553198E8
Sri Lanka,2.1837317988105126E7
Bhutan,934596.1627935503
Bangladesh,1.8278273732752788E8
Afghanistan,4.731679793342562E7
Oman,4856708.425248317
Kuwait,4929024.333250622
Lebanon,6385224.114795205
Qatar,3040219.1867102697
Saudi Arabia,3.9147230401268505E7
Turkey,1.0611919342957573E8
Yemen,3.3172617408501208E7
Iraq,5.1180634874583095E7
Jordan,1.2883487009808693E7
Syrian Arab Republic,2.5108576989136845E7
Israel,1.0112927961372444E7
Georgia,5054364.347548331
Cyprus,1510316.2050625712
Bahrain,1143864.753660044
Azerbaijan,1.3393537073745111E7
Armenia,3678693.810939418
United Arab Emirates,1.0114852178713735E7
"Moldova, Republic of",4528318.013694475
Hungary,1.4376730568098458E7
Poland,6.206953374379199E7
Romania,2.786870756759999E7
Ukraine,6.655233982007343E7
Belarus,1.625632456644893E7
Czech Republic,1.6325335850471329E7
Slovakia,8241176.026523388
Bulgaria,9443326.616362715
Norway,1.040447479487852E7
Sweden,1.966354096763888E7
Lithuania,4933053.055371428
Latvia,3433612.8771772273
Ireland,8141244.446600679
Iceland,810591.1299961976
U.K. of Great Britain and Northern Ireland,1.0987441011630504E8
Finland,1.1464128607699972E7
Estonia,2578845.119838176
Svalbard and Jan Mayen Islands,12726.070240265715
Madeira Islands,309882.50756658387
Azores Islands,288714.45197642915
British Indian Ocean Territory,0.0
Guernsey,94933.56915398651
Jersey,161816.47390684392
Isle of Man,141583.9214609887
Holy See,1507.8542437040778
Greenland,74160.91083064454
Western Sahara,599721.6411395165
Gaza Strip,2098860.778353747
West Bank,121486.78437293982
West Bank,3785623.393427482
Gibraltar,30205.49869021354
Saint Helena,5772.212928214596
Macau,525186.2917747487
Hong Kong,6633103.947859109
Abyei,29839.6811554463
Ilemi triangle,25444.18340649513
Hala'ib triangle,5237.69481544429
Ma'tan al-Sarra,0.0
Paracel Islands,470.10961327446876
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,910.4974057488143
Aksai Chin,5707.7242585942
Spratly Islands,0.0
Jammu and Kashmir,2.3410054739314504E7
Arunachal Pradesh,1282146.843743084
Norfolk Island,2480.4647937101604
Wallis and Futuna,11695.587345859321
French Polynesia,300493.3891053152
New Zealand,6451565.715189487
Australia,8468952.99122826
Australia,1.6356878468574256E7
Papua New Guinea,9289656.04265737
Vanuatu,314016.29661091964
Solomon Islands,672583.3331718162
Fiji,858693.4597670926
Marshall Islands,36081.49887976962
Nauru,11600.269636451432
Micronesia (Federated States of),104441.17585999578
Kiribati,121009.21672907734
Samoa,213955.2135063748
Tonga,109899.11044228458
Tuvalu,9843.252264765662
Canada,7964.109059006305
Canada,7210559.661805134
Canada,909356.5332504503
Canada,9575971.973064093
Canada,2260024.3680182877
Canada,41890.103317671215
Canada,46096.21664543881
United States of America,1.1357454371300897E8
United States of America,1.4054417066367337E8
United States of America,2.533800623976702E7
Japan,1.5082681506035388E8
Russian Federation,2.500109692065899E8
Cook Islands,17757.786713554535
Niue,2193.2580427081775
Northern Mariana Islands,50045.81199348545
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,304708.1620933528
Tokelau,1474.4538545814214
Guam,173344.48730185532
American Samoa,46868.50938229681
Kuril islands,20864.426100207984
Martinique,374994.57640731154
Guadeloupe,449398.32961406664
Clipperton Island,0.0
Dominica,72301.90591475043
Dominican Republic,1.16319285359726E7
Antigua and Barbuda,95900.65307887172
Cuba,1.2158047646194309E7
Grenada,118197.58402170114
Jamaica,2957423.6815900397
Saint Kitts and Nevis,48883.67072380145
Trinidad and Tobago,1541074.5466966913
Bahamas,441151.7917685905
Saint Lucia,182430.51350672857
Saint Vincent and the Grenadines,111833.75902676537
Barbados,287677.6067255866
Haiti,1.187788993961637E7
Panama,4321455.004647692
El Salvador,6484874.033035943
Nicaragua,6923118.092089465
Mexico,1.3535311251684678E8
Honduras,1.0444426913618902E7
Guatemala,1.797295988775164E7
Costa Rica,5199827.83182021
Belize,411337.55917638075
United States of America,3.057231431074248E7
United States of America,1.1647508011694573E8
Colombia,5.127144030055202E7
Guyana,806282.4765138333
Ecuador,1.7582664653871037E7
French Guiana,292153.96799895004
Paraguay,7315843.706257514
Suriname,601856.945891081
Uruguay,4109336.542257788
Venezuela,2.8857618249933127E7
Peru,3.378453384464969E7
Chile,2.3423184226830203E7
Bolivia,1.2477027488482688E7
Netherlands Antilles,268395.66469432233
Navassa Island,0.0
Puerto Rico,3444460.3851457066
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,108336.78122015901
Pitcairn,64.63606229971218
Cayman Islands,71863.20113301201
Montserrat,4727.030095606969
Turks and Caicos islands,46417.218132769674
British Virgin Islands,30773.492721904026
Anguilla,15963.734559244334
Bermuda,53029.61945638909
United States Virgin Islands,104678.66855641725
Falkland Islands (Malvinas),5285.177179240199
South Georgia and the South Sandwich Islands,0.0
Argentina,5.376000956052176E7
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
