system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,9603032.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,984815.0,1.4405450337158253E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,75116.0,1.057799670031896E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,33180.0,8064737.649345277,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,19081.0,6546272.099879974,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,12339.0,5455193.617239209,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,8807.0,4772823.786889066,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,6584.0,4227179.506044013,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,5231.0,3868597.644299612,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,4427.0,3717645.354666168,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,3581.0,3355160.0478603155,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,3188.0,3305027.5674667973,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,2714.0,3074653.7471121266,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,2279.0,2818758.369532795,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,2091.0,2786950.349138336,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,1877.0,2681879.820209517,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,1729.0,2643884.055903791,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,1537.0,2504988.739103654,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,1401.0,2410438.94165148,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1268.0,2318588.9093980663,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1171.0,2252108.214847579,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1084.0,2205433.9260543725,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1020.0,2168906.5295729423,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,991.0,2208788.8000064828,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,871.0,2025098.081360616,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,808.0,1963704.5540530873,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,748.0,1874909.15749844,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,731.0,1924380.6612951234,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,730.0,1984255.9127740667,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,615.0,1717855.9325711264,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,628.0,1833901.895941504,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,564.0,1695975.5043068621,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,531.0,1653607.808150038,"{""type"":""MultiPoint"",""coordinates"":[]}"
