system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.9476305E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,3375367.0,7.02151156664997E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,560545.0,7.991615542386381E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,315097.0,7.665191354565865E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,204528.0,7.018024864012156E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,143702.0,6.3622150151657E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,105357.0,5.709600559557881E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,81250.0,5.2102682435020626E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,63011.0,4.663640663513918E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,50655.0,4.252555001750269E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,41387.0,3.885696589764482E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,34458.0,3.576419268615834E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,29073.0,3.2989434597688425E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,24790.0,3.061101770031037E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,21488.0,2.8645378470117405E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,19021.0,2.725535354324587E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,16823.0,2.574612884019113E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,14879.0,2.4219655785801403E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,13252.0,2.290673952496684E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,12081.0,2.2065738212659474E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,10771.0,2.0741469361751165E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,9805.0,1.9830377716401305E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,9005.0,1.912480281249921E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,8205.0,1.8246788110010616E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,7533.0,1.7494180589079075E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,6898.0,1.6739801532282513E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,6416.0,1.6152288989373796E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,5896.0,1.5437372515639527E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,5468.0,1.4876909961063663E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,5127.0,1.441457298070543E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,4657.0,1.3575820648059884E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,4416.0,1.3300666189779483E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,4231.0,1.314677282314008E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,3829.0,1.2290837221011035E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,3748.0,1.241518544239267E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,3609.0,1.2308155698556667E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,3229.0,1.132606636451789E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,3134.0,1.1316279512777183E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,2978.0,1.1033828623130672E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,2779.0,1.0562795955207514E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,2716.0,1.0605593117430836E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,2605.0,1.0422108766272819E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,2400.0,9851083.85358667,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,2346.0,9856509.875490312,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,2245.0,9643211.665052535,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,2170.0,9539864.482729908,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,2058.0,9239022.892582925,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,1991.0,9106730.63635843,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,1855.0,8656252.870758565,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,1777.0,8484998.780148286,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,1751.0,8537751.578787802,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,1713.0,8550535.42699847,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,1612.0,8208644.998698119,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,1656.0,8574849.976802612,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,1491.0,7898585.880699204,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,1469.0,7932113.788693884,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,1385.0,7601774.723875703,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,1310.0,7274559.917478875,"{""type"":""MultiPoint"",""coordinates"":[]}"
