system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.4907148E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4133703.0,4.4020589008404024E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,128269.0,1.7788275615615703E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,55019.0,1.3280669182246016E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,34278.0,1.1723552010882044E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,24940.0,1.102186140939051E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,19396.0,1.0505455128277589E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,15997.0,1.0255463676298695E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,13710.0,1.0169707704999682E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,11846.0,9960235.653504685,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,10124.0,9511799.823878419,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,8900.0,9259339.601291893,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,7955.0,9066924.756654397,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,7132.0,8842030.24430418,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,6093.0,8161935.823007537,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,5259.0,7558047.070378868,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,4731.0,7271496.671142412,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,4087.0,6681103.9491076805,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,3754.0,6519251.564331451,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,3196.0,5872936.96533236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,2947.0,5708277.524320042,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,2582.0,5255032.637326397,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,2172.0,4640256.249260096,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1946.0,4347802.673858138,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1692.0,3942753.8543326217,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1569.0,3811393.5912020365,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1347.0,3400840.012942086,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1221.0,3208094.35417625,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1066.0,2899521.83242826,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,963.0,2718349.0346598662,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,882.0,2581468.198988651,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,750.0,2263419.0517127123,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,676.0,2109300.741474159,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,656.0,2113533.340153633,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,499.0,1659934.2014163297,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,476.0,1623592.0948441857,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,416.0,1457838.002454767,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,402.0,1443570.8216139015,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,357.0,1319416.2485103114,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,316.0,1207914.6954184442,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,309.0,1205104.5905757449,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,287.0,1148245.9624797208,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,277.0,1131838.734127496,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,233.0,975308.5709308125,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,239.0,1024249.0651453349,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,213.0,932023.7109754169,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,177.0,780970.006034361,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,204.0,935458.8119517171,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,163.0,760025.2024933423,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,143.0,678909.7762545813,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,124.0,593394.386678719,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,124.0,625499.2155079504,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,136.0,688159.9649914238,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,108.0,560399.0261991618,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,123.0,645968.8445965556,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,90.0,483066.8364324914,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,90.0,498114.05744077085,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,102.0,564784.9227688211,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,76.0,431453.6261064084,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,93.0,540317.196554132,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,67.0,392941.3057625105,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,68.0,404846.0881156507,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,75.0,456807.03023933293,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,68.0,417327.18809110735,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,68.0,425833.22144250385,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,67.0,427029.3591135485,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,55.0,358064.3087652213,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,49.0,321973.6348523819,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,47.0,317310.09877753956,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,42.0,280080.6338822243,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,51.0,350428.4237063491,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,45.0,311570.0959240294,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,43.0,305595.0692359422,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,50.0,359158.5762528189,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,49.0,352438.24775885604,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,35.0,256235.9174447924,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,34.0,247547.01777722285,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,36.0,272683.1631759124,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,42.0,317226.1198766348,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,36.0,278214.48598242475,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,35.0,275012.59558364045,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,41.0,319916.0011118157,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,26.0,212119.10958600137,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,30.0,243372.79719238332,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,21.0,175322.26253826695,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,32.0,266745.0625649564,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,28.0,238425.39364619617,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,28.0,229773.5381092224,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,22.0,192441.62797286574,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,25.0,221079.14303901698,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,22.0,196941.12182499224,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,23.0,208288.40356913675,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,17.0,154326.1590003064,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,18.0,164567.73045723565,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,21.0,193385.63943271583,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,23.0,212090.09042208223,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,19.0,181054.97636472172,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,13.0,125177.25662032043,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,26.0,248716.02154245664,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,25.0,243513.84502504865,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,19.0,187579.37391312595,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,11.0,109469.6650142027,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,9.0,84250.75226956233,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10300.0,10.0,101866.1896787819,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,10400.0,10.0,103418.41958887875,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10500.0,11.0,113599.71046306587,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,10600.0,8.0,84338.17456647754,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,10700.0,16.0,167302.4515710144,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,10800.0,9.0,94691.12457344146,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,10900.0,10.0,104267.81692434076,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,11000.0,7.0,63389.775394841934,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,11100.0,6.0,66279.53640547395,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,11200.0,8.0,85619.97997464876,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,11300.0,9.0,99929.9676419611,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,11400.0,4.0,45415.661988162436,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,11500.0,7.0,72180.21301033802,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,11600.0,8.0,90982.86473220258,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,11700.0,5.0,58181.771361175925,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,11800.0,8.0,91331.43977970797,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,11900.0,6.0,71142.39259326458,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,12000.0,6.0,67840.20807785584,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,12100.0,6.0,72238.40705461055,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,12200.0,7.0,83985.49042617892,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,12300.0,9.0,106000.98286053538,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,12400.0,7.0,77574.02869705085,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,12500.0,8.0,99634.01547529062,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,12600.0,9.0,113013.83290013298,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,12700.0,4.0,49036.632590433765,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,12800.0,3.0,30820.986977949564,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,12900.0,3.0,38547.00542205572,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,13000.0,6.0,77618.1905964301,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,13100.0,5.0,65258.74332585931,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,13300.0,8.0,105617.16624888986,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,13400.0,6.0,79765.51810178494,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,13500.0,4.0,50188.629982222235,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,13600.0,1.0,13513.850862503052,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,13700.0,5.0,68286.02542221546,"{""type"":""MultiPoint"",""coordinates"":[]}"
