system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,2.0407471133333318E7,1.0686255652688047E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,3601230.164705882,2.518542340168341E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,518762.34117647033,1.607863593568048E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,260868.14117647056,1.2032351753011799E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,159091.83921568625,9.459324233666874E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,106588.16862745097,7.833774522689125E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,76378.39607843138,6.5346308696744315E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,57788.400000000016,5.7112671115682475E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,45376.47058823531,5.0606998415146686E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,36341.83529411764,4.522684773033464E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,29698.803921568626,4.067709907152489E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,24472.39215686275,3.6423546058775336E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,20805.52549019608,3.338465667756987E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,18026.478431372547,3.1602585796510022E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,15816.552941176473,2.9248614485866442E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,13613.780392156867,2.7135914516343035E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,12079.996078431372,2.5134786126283046E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,10634.717647058822,2.3691852845796682E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,9762.388235294118,2.331757291679057E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,8614.960784313726,2.1329475671344656E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,7911.521568627452,2.069494858593039E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,7108.290196078433,1.9366711720113184E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,6293.105882352941,1.781566204003084E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,5843.807843137256,1.749638786091026E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,5578.054901960783,1.7173353292920224E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,5074.788235294119,1.6079677289202197E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,4621.435294117648,1.5630138983138734E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,4317.756862745098,1.4810001230652738E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,3989.270588235294,1.4116036541549064E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,3738.231372549019,1.3651740644561466E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,3561.7686274509797,1.320770857146321E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,3350.0039215686274,1.295889473302515E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,3161.9686274509795,1.2456923601133259E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,2897.0745098039215,1.2042274792643853E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,2699.482352941176,1.1052643189015916E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,2562.5529411764705,1.1107403800141657E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,2414.5882352941176,1.0990047600034686E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,2267.572549019608,1.0185590865516132E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,2134.235294117647,1.0166895852287456E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,2058.5333333333333,9908768.768677538,"{""type"":""MultiPoint"",""coordinates"":[]}"
