system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,2.5534513E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,3696700.0,7.068852004914251E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,337895.0,4.718084184001807E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,140413.0,3.386935837693679E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,76201.0,2.603677224608992E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,48605.0,2.1437847121036775E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,34372.0,1.853994808692043E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,25788.0,1.6472993147717277E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,20230.0,1.4916396273362242E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,16368.0,1.3680086947731202E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,14112.0,1.3184092533444485E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,11790.0,1.2166731021071045E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,10310.0,1.1662276573196147E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,9043.0,1.1131228453930134E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,8028.0,1.0664119842630392E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,7209.0,1.0295423000635235E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6593.0,1.0076063619976256E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5961.0,9677444.970837899,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,5500.0,9501385.024191782,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4983.0,9089458.070601145,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,4535.0,8735313.871214483,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,4352.0,8801236.619369553,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,4019.0,8500595.82528931,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,3591.0,7958464.87492571,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,3521.0,8164993.125229005,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,3394.0,8208474.845338305,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,2994.0,7528012.38789649,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,2957.0,7773497.077763739,"{""type"":""MultiPoint"",""coordinates"":[]}"
