system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,9583130.137254901,59678.516930751866,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1007441.8784313723,2.0462644017176412E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,62407.137254901936,1.3126103528895866E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,25817.69411764706,9325194.681519749,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,14569.556862745098,7465712.80908823,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,9406.400000000001,6216633.656199301,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,6776.752941176471,5432198.816454991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,5131.290196078431,4850799.321612492,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,4057.7176470588242,4445306.014615406,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,3408.3921568627457,4176624.2133798255,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,2875.843137254902,3916012.3185365717,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,2319.2941176470586,3535486.8977260697,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,2045.61568627451,3376252.3553244863,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,1800.2078431372547,3219211.6318556936,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,1569.2039215686275,3030045.3886278816,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,1504.1843137254903,3126447.0226520346,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,1363.670588235294,2985546.2637875513,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,1197.764705882353,2776856.498066727,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,1080.4745098039214,2669350.301548397,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,987.537254901961,2575647.450991865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,899.878431372549,2474212.721458502,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,835.3058823529411,2411717.3329093778,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,784.1098039215688,2350722.606163184,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,714.8470588235293,2277090.9961783546,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,685.3725490196078,2272356.0811447226,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,644.2627450980392,2176180.6773884865,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,602.3725490196078,2150279.499840563,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,566.5254901960783,2094025.9351822925,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,533.4823529411765,2030743.3706292987,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,484.9058823529411,1946641.2532148233,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,438.2862745098039,1807298.3013603825,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,442.0117647058824,1877983.2072230075,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,425.7686274509803,1873635.1678640775,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,410.878431372549,1846398.7765372004,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,388.25490196078437,1794684.0949097027,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,381.09411764705885,1779710.9024648329,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,354.62352941176465,1709475.4643209116,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,295.7882352941176,1473138.6596831265,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,304.58039215686273,1549413.6459310818,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,321.3098039215687,1714909.9437541696,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,308.7607843137255,1632349.5681692185,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,278.0705882352941,1556513.9338798318,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,283.7450980392157,1628364.3952519416,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,273.65490196078434,1605540.7316649798,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,261.1647058823529,1520281.2177161267,"{""type"":""MultiPoint"",""coordinates"":[]}"
