system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,9588016.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,959860.0,1.476189523224168E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,79658.0,1.1233363099293383E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,36854.0,8943192.350387422,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,21533.0,7395849.827012892,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,14706.0,6509318.234885649,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,10574.0,5721039.882794551,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,8101.0,5189259.47754717,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,6412.0,4742893.546945287,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,5313.0,4460196.291197793,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,4401.0,4127626.158972484,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,3775.0,3901031.269774565,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,3283.0,3732573.188392388,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,2943.0,3620212.5782320276,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,2580.0,3437514.8928923663,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,2371.0,3395408.847913538,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2158.0,3295160.87996997,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,1953.0,3190040.463775454,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,1851.0,3196562.4385765344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1768.0,3227083.2849000283,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1563.0,2999628.3081068583,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1514.0,3079616.7707962426,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1388.0,2951389.8365835855,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1285.0,2841888.6217658464,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1231.0,2864375.4197593676,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1145.0,2765253.0986837503,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1138.0,2864285.4036556757,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,1047.0,2737820.2554279435,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,958.0,2586851.0601902283,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,928.0,2611231.0520590693,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,843.0,2458797.7513158605,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,796.0,2400780.4393420108,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,818.0,2537696.0580565413,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,795.0,2564451.2277740515,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,708.0,2343022.3936898895,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,656.0,2238857.1399030536,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,695.0,2425285.2420506435,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,663.0,2379376.3646823773,"{""type"":""MultiPoint"",""coordinates"":[]}"
