system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.472962740784307E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,4094231.1490195813,4.102210625866479E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,114855.15686274505,1.618516269172618E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,50823.921568627484,1.2468217926722229E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,32363.03921568628,1.122026451858832E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,23861.5568627451,1.0679329519964822E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,18424.521568627453,1.0095294045736607E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,15123.372549019607,9809020.147229128,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,12333.984313725492,9228382.72507658,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,10523.64705882353,8928816.652894417,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,8906.30588235294,8448458.853516871,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,7488.866666666666,7853031.336996794,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,6285.423529411764,7221319.687054907,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,5260.529411764706,6569932.807338253,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,4680.992156862745,6312320.770384168,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,3897.38431372549,5645286.552788049,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,3321.137254901961,5139229.492034736,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2794.1372549019607,4606848.127935452,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2372.3764705882354,4148242.9068897394,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1988.105882352941,3674134.977419175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1781.81568627451,3472760.6459384575,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1462.6901960784312,2995887.720100714,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1240.721568627451,2665621.3237844957,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1037.9411764705883,2333877.994694517,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,979.2745098039215,2299800.1212334,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,830.1058823529413,2033739.3801036514,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,754.4549019607844,1923701.635772993,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,679.349019607843,1801043.3658242142,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,618.635294117647,1699540.029584725,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,520.4509803921569,1482190.9068209373,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,454.5764705882353,1340728.5051075066,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,441.6235294117647,1345804.5889925992,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,405.47843137254904,1275994.7196185796,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,329.10196078431375,1068891.6978795466,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,307.2235294117647,1028079.8812398108,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,270.0705882352941,931923.5229047573,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,263.1843137254902,933931.965533752,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,229.31764705882352,836542.58543694,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,221.6627450980392,831742.7211720841,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,196.4156862745098,756116.7543442599,"{""type"":""MultiPoint"",""coordinates"":[]}"
