system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,2078034.611764706,2716394.537459007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1684327.9098039216,1.0210699242688608E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,366209.18823529413,9.753673770319965E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,185298.11764705883,8.167076185450299E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,111184.59215686277,6.785619124507302E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,73099.53725490198,5.603115222143233E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,51635.23921568628,4.745383613222473E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,37826.8274509804,4.075936914923945E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,28823.592156862742,3.562301274428277E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,22363.796078431376,3.0914767173336145E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,17829.341176470585,2.7374198807620354E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,14658.45490196079,2.4861164736064233E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,11985.176470588238,2.2041779694282506E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,10225.243137254902,2.032359148561287E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,8712.796078431373,1.8844231230275787E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,7392.701960784315,1.704360999522035E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,6440.921568627451,1.5909190833402557E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,5597.149019607843,1.4685211048759066E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,4869.917647058823,1.34789571059521E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,4516.713725490196,1.3023623898736347E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,3948.4352941176476,1.2252812355881441E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
