system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,2040766.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,1506177.0,4.5103773419846095E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,348235.0,5.002825183976737E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,200844.0,4.9259613948070094E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,136118.0,4.701916599258319E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,99113.0,4.412853980044924E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,75440.0,4.110082454294209E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,58298.0,3.7576180638274215E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,46275.0,3.444329803435668E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,37333.0,3.150121081018647E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,30646.0,2.89100726698398E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,25059.0,2.6123305055197943E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,21441.0,2.4484868725323856E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,18149.0,2.2553354050225526E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,15401.0,2.064679006938538E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,13542.0,1.9508479070405994E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,11604.0,1.7888343328813307E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,10380.0,1.7029966968144536E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,9143.0,1.5933237321745476E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,8136.0,1.4980867687192326E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,7416.0,1.4382604169546142E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,6725.0,1.3699322225077491E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,5722.0,1.224500823105558E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,5376.0,1.2025685527429793E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,4748.0,1.1105086297252024E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,4279.0,1.0432143274447294E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,3928.0,9968878.70061008,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,3797.0,1.0004882304330138E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,3301.0,9034890.79912068,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,2940.0,8331144.2443288015,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,2912.0,8551370.500101471,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,2770.0,8394936.154706039,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,2493.0,7821433.851078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,2310.0,7468279.317184984,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,2136.0,7127504.232343712,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,2042.0,7005933.850757346,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1931.0,6821278.917346859,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,1766.0,6409787.028007248,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,1704.0,6366647.782290595,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,1563.0,5964821.443929549,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,1509.0,5932868.698988587,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,1481.0,5970763.582774522,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,1268.0,5246560.835371295,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,1285.0,5438542.442488508,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,1184.0,5139301.356641506,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,1208.0,5360137.060469523,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,1032.0,4683158.850891257,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,1041.0,4817499.288597087,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,976.0,4616015.701548893,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,948.0,4584155.823246484,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,893.0,4397566.525108206,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,884.0,4435629.648922829,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,824.0,4218831.551400669,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,807.0,4216430.923934232,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,776.0,4144940.574077169,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,724.0,3942190.422865485,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,781.0,4318040.317094257,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,689.0,3873109.601445405,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,635.0,3633882.7776080673,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,629.0,3664960.6689305017,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,621.0,3676053.6278996845,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,562.0,3386165.2527219853,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,542.0,3316454.8014712906,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,571.0,3551078.4500601655,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,525.0,3315842.984256865,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,543.0,3482825.5153668984,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,499.0,3266613.5525011285,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,480.0,3186102.065170148,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,484.0,3259718.197833536,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,496.0,3386651.0491752196,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,507.0,3501988.014682918,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,435.0,3061563.41450529,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,418.0,2968275.1768893255,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,425.0,3071723.4092218964,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,383.0,2810284.9284286043,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,388.0,2887640.116686425,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,381.0,2868416.763311917,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,350.0,2667073.8755200957,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,380.0,2928341.7965319105,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,391.0,3055210.3197811567,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,360.0,2848356.870933691,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,352.0,2822003.4462496014,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,332.0,2701162.8488818137,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,308.0,2531700.678246722,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,329.0,2739776.3626777143,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,303.0,2544274.975978178,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,298.0,2537964.9153262507,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,294.0,2540459.4772882084,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,282.0,2457578.9251790466,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,288.0,2532048.550840188,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,315.0,2818453.6727200532,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,266.0,2397327.647231611,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,246.0,2247912.263039915,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,275.0,2536957.555160301,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,244.0,2278637.679982576,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,258.0,2411130.6416462483,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,224.0,2134996.8446434774,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,268.0,2584854.479676707,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,221.0,2150053.8946239455,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,237.0,2330826.3254098734,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,228.0,2259027.970753462,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,238.0,2390688.5587681313,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,247.0,2501978.2875185334,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10300.0,251.0,2550581.094238396,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,10400.0,211.0,2181468.6510689165,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10500.0,209.0,2176461.3422888466,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,10600.0,200.0,2095728.3250625099,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,10700.0,199.0,2112832.905174526,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,10800.0,190.0,2036018.059405618,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,10900.0,193.0,2091104.077011574,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,11000.0,208.0,2269977.5353088714,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,11100.0,185.0,2036352.5158537484,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,11200.0,189.0,2107843.418075357,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,11300.0,175.0,1955036.8349624153,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,11400.0,191.0,2154142.8590329573,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,11500.0,162.0,1842036.0649992798,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,11600.0,178.0,2053086.2513169586,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,11700.0,174.0,2016705.2334089878,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,11800.0,160.0,1868996.970635319,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,11900.0,170.0,1994150.6071705446,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,12000.0,193.0,2302069.4996801093,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,12100.0,171.0,2047013.7161295216,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,12200.0,161.0,1946794.0139643399,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,12300.0,174.0,2130021.002582469,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,12400.0,161.0,1984053.96498247,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,12500.0,174.0,2166038.2158218184,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,12600.0,151.0,1894803.4979803637,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,12700.0,153.0,1935072.8294704612,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,12800.0,158.0,2008994.842741998,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,12900.0,145.0,1861792.323110527,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,13000.0,149.0,1925960.4750245034,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,13100.0,163.0,2127455.5217130696,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,13200.0,147.0,1925964.3884506545,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,13300.0,131.0,1734737.4243670364,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,13400.0,144.0,1899025.7449477315,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,13500.0,163.0,2164531.3288421254,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,13600.0,133.0,1801946.227098439,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,13700.0,150.0,2047702.7282725815,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,13800.0,140.0,1912882.2865607007,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,13900.0,143.0,1979322.9768488687,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,14000.0,120.0,1673362.0751971789,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,14100.0,121.0,1698099.3412182557,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,14200.0,150.0,2121091.5067696883,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,14300.0,138.0,1966237.3829507735,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,14400.0,123.0,1764675.0032997755,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,14500.0,133.0,1921464.0602728184,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,14600.0,143.0,2068606.7038145417,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,14700.0,142.0,2073680.6509623937,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,14800.0,132.0,1933206.4831292373,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,14900.0,85.0,1260580.7873294163,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,15000.0,104.0,1538368.0547803992,"{""type"":""MultiPoint"",""coordinates"":[]}"
