system:index,Bin,TotalCellCount,TotalPopulationSum,.geo
0,0.0,1.7956762701960783E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5778276.239215687,6.891950044892757E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,222749.14901960778,3.113844607102481E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,81903.85490196077,1.9947200864804503E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,42769.78039215685,1.4767571846989531E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,25661.39607843138,1.1455772870568598E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,17220.93333333333,9418468.232017519,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,12332.133333333337,7987637.803483761,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,9569.623529411765,7157412.317104654,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,7489.509803921567,6351437.783996375,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,6148.0901960784295,5825612.421723252,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,5064.04705882353,5313506.561104219,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,4446.133333333333,5107336.885784528,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,3713.6901960784317,4639814.760574151,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,3191.4509803921565,4305462.668244922,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,2746.1137254901964,3983577.802951287,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,2566.529411764706,3976459.9201197047,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,2283.8745098039212,3766483.9044169057,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,2028.949019607843,3548340.9696522774,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,1932.3921568627452,3571555.8381454446,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,1787.6549019607846,3485448.8188893814,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,1534.0117647058826,3141276.816013948,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,1480.9764705882355,3182289.2097149007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,1335.8,3006128.593631572,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,1216.7529411764706,2858048.247112196,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,1123.2745098039215,2751599.363217118,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,1061.2470588235294,2704649.8687085174,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,997.1843137254903,2642006.2583780778,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,984.3529411764706,2706382.605874545,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,871.2627450980394,2482768.8400076944,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,833.1529411764704,2457029.22299643,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,789.7450980392156,2408188.5344058396,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,736.0352941176473,2316808.6049064137,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,693.1019607843137,2252422.042630873,"{""type"":""MultiPoint"",""coordinates"":[]}"
