system:index,Bin,GridcellCount,PopulationSum,.geo
0,0.0,1.7706784E7,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100.0,5628316.0,8.796097374874006E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,200.0,410510.0,5.7627048675947376E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,300.0,174815.0,4.244882612212614E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,400.0,97844.0,3.35709373353616E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,500.0,61334.0,2.718615605478476E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,600.0,41823.0,2.2707353417015754E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,700.0,29703.0,1.9065932572303247E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,800.0,22389.0,1.6598685111590203E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,900.0,17110.0,1.4395478207001287E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1000.0,13531.0,1.2725813688463092E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1100.0,10888.0,1.1315973434739558E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1200.0,9047.0,1.0283788951487036E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1300.0,7635.0,9442786.879645746,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1400.0,6504.0,8678514.860442631,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1500.0,5828.0,8379888.673934203,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1600.0,5084.0,7799013.7772475295,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1700.0,4693.0,7686281.139693547,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1800.0,4184.0,7251696.406951996,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1900.0,3824.0,7016969.590207441,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2000.0,3385.0,6515734.580149416,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2100.0,3152.0,6400894.05236991,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2200.0,2919.0,6215037.3451577425,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2300.0,2756.0,6148551.339292105,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2400.0,2511.0,5839303.975950225,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2500.0,2374.0,5769180.460320736,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2600.0,2104.0,5325231.093432896,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2700.0,2098.0,5501908.497766365,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2800.0,1946.0,5303028.072596091,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2900.0,1769.0,4989371.511638174,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3000.0,1745.0,5105667.938124534,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3100.0,1728.0,5236504.930070249,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,3200.0,1580.0,4908476.425135638,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,3300.0,1495.0,4799799.294403007,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,3400.0,1436.0,4765335.274900351,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,3500.0,1331.0,4541197.539309873,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,3600.0,1282.0,4526068.810699274,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,3700.0,1244.0,4504225.548041319,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3800.0,1172.0,4359079.250599154,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3900.0,1148.0,4367374.954412107,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,4000.0,1084.0,4235003.374833209,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,4100.0,1071.0,4311195.000185787,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,4200.0,945.0,3897261.997656775,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,4300.0,995.0,4204602.8947477825,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,4400.0,998.0,4314272.0056388015,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,4500.0,883.0,3895475.8161222762,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,4600.0,843.0,3809606.959410488,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,4700.0,836.0,3865370.709551757,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,4800.0,797.0,3736078.865579423,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,4900.0,794.0,3801605.2435657326,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5000.0,754.0,3716419.8846961064,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,5100.0,724.0,3634284.4169743783,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5200.0,682.0,3477890.043695856,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,5300.0,653.0,3373534.7027297337,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5400.0,640.0,3384997.6558869705,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,5500.0,589.0,3182744.7917271974,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,5600.0,610.0,3356938.894307047,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5700.0,580.0,3250099.67015081,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5800.0,577.0,3308536.892081013,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5900.0,579.0,3361677.0951120653,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,6000.0,546.0,3221538.7572849323,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,6100.0,521.0,3112911.746744337,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,6200.0,521.0,3151175.4820304727,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,6300.0,466.0,2889074.069764559,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,6400.0,493.0,3109643.7701578094,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,6500.0,440.0,2823416.95925754,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,6600.0,430.0,2808352.0565503743,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,6700.0,413.0,2711562.590082649,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,6800.0,461.0,3089514.4219887382,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,6900.0,454.0,3079893.6608370957,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,7000.0,440.0,3039227.6467816196,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,7100.0,406.0,2845953.930836432,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,7200.0,426.0,3019363.9803985665,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,7300.0,344.0,2478985.8502416364,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7400.0,406.0,2958614.1347343125,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,7500.0,365.0,2711751.089058319,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,7600.0,361.0,2675665.3767690486,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,7700.0,335.0,2541385.0536134737,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,7800.0,351.0,2702127.258876773,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7900.0,324.0,2528836.3378544864,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,8000.0,333.0,2627100.133196472,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,8100.0,321.0,2562640.645150429,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,8200.0,282.0,2263300.6405806895,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,8300.0,306.0,2513599.541039979,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,8400.0,294.0,2442815.8409277834,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,8500.0,274.0,2283172.039647337,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,8600.0,257.0,2193236.905989323,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,8700.0,273.0,2351299.212773145,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,8800.0,259.0,2238268.349794138,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,8900.0,249.0,2179638.7586013963,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,9000.0,256.0,2277494.4426831184,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,9100.0,269.0,2417638.042793494,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,9200.0,239.0,2176139.1167959487,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,9300.0,244.0,2243286.8264323357,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,9400.0,237.0,2205315.572360799,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,9500.0,216.0,2029405.3339996818,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,9600.0,215.0,2045460.5172336937,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,9700.0,204.0,1930152.3341781471,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,9800.0,200.0,1933577.895817242,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,9900.0,199.0,1953124.1824821925,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10000.0,185.0,1836852.2311033248,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,10100.0,182.0,1822992.5299564584,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,10200.0,195.0,1969998.3318150174,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,10300.0,174.0,1777217.7865877273,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,10400.0,167.0,1707598.9445763961,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,10500.0,184.0,1910444.5126772672,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,10600.0,176.0,1848433.8803099443,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,10700.0,168.0,1757695.544186063,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,10800.0,174.0,1847507.7665414223,"{""type"":""MultiPoint"",""coordinates"":[]}"
