,Category,Count,Population2020,popChangein2020_2030,c3UrbanPopChange_2020_2030,c2UrbanPopChange_2020_2030,c1UrbanPopChange_2020_2030
0,East Asia & Pacific,38,2708440372,285567054,134370785,11984444,3045143
1,Europe & Central Asia,52,1352546981,74012332,31523388,1631858,439454
2,Latin America & Caribbean,37,691304291,64192236,36574646,2001237,340721
3,Middle East & North Africa,21,556547245,89625633,64511738,3100558,373971
4,North America,3,482277686,35729966,17463067,1094062,365129
5,South Asia,8,2046947668,338271547,127014207,21049582,3601058
6,Sub-Saharan Africa,44,1142832384,357663740,159422061,18173354,4476412
7,High income,79,1908853592,105491935,49337974,2304912,646261
8,Low income,26,698043642,231061347,100437118,14111688,3635157
9,Lower middle income,46,3113313604,574417829,248984805,31397772,5546862
10,Upper middle income,51,3231828171,330448453,169517630,11140839,2805236
