,Category,Count,Population2000,popChangein2000_2020,UrbanPopulation2000,urbanPopChange2000_2020,UrbanPopulation_20YearLag2020,NonUrbanPopulation_20YearLag2020
0,East Asia & Pacific,38,2349060334,792463671,1904366666,349368256,167795983,24841735
1,Europe & Central Asia,52,1274500165,207463086,922783961,81733332,33687787,8524613
2,Latin America & Caribbean,37,554596274,173851402,424086391,121887920,26082316,1369170
3,Middle East & North Africa,21,374483129,201288649,306416320,175211534,32610212,767265
4,North America,3,404927406,92832848,285648700,71268870,13266740,747503
5,South Asia,8,1526873132,719666348,1209955992,531848566,256941274,6134686
6,Sub-Saharan Africa,44,666914187,593638574,416222839,363288332,162273256,2096318
7,High income,79,1732039654,314094065,1296442288,167365478,46602919,7600919
8,Low income,26,403247245,364375829,251539171,223203344,114411749,1307168
9,Lower middle income,46,2243899947,1158896779,1735870909,829480680,356018599,8980793
10,Upper middle income,51,2747412671,938266567,2163973255,470666320,174835575,26570712
