country,Population2020
Monaco,18120.63169
Seychelles,103157.776
Zimbabwe,1.75E+07
Gabon,2280698.339
Equatorial Guinea,1593243.16
Chad,1.73E+07
Sao Tome and Principe,219906.8616
Congo,5674911.03
Democratic Republic of the Congo,9.39E+07
Cameroon,2.67E+07
Central African Republic,5404466.021
Swaziland,1474837.532
Togo,8506927.59
Sierra Leone,8402797.959
Senegal,1.75E+07
Nigeria,2.13E+08
Niger,2.58E+07
Mauritania,4917254.288
Mali,2.24E+07
Liberia,5147349.095
Guinea-Bissau,2106578.144
Gambia,2753131.108
Guinea,1.36E+07
Ghana,3.28E+07
Cape Verde,586906.4739
Côte d'Ivoire,2.72E+07
Burkina Faso,2.25E+07
Benin,1.29E+07
Malaysia,3.29E+07
Taiwan,2.35E+07
Denmark,5723783.238
Greece,1.00E+07
Albania,2860019.229
Liechtenstein,37792.06455
Republic of Korea,5.04E+07
Dem People's Rep of Korea,2.54E+07
China,1.41E+09
Cambodia,1.62E+07
Thailand,7.13E+07
Indonesia,2.66E+08
Singapore,5774352.183
Georgia,3758305.375
Cyprus,1232856.208
Belarus,9654093.742
Estonia,1334119.809
Hong Kong,6165438.594
Japan,1.22E+08
Lesotho,2241889.759
Mongolia,3300956.736
Bulgaria,6933439.205
Croatia,4026532.612
Spain,4.64E+07
Germany,8.34E+07
Azerbaijan,1.02E+07
Armenia,2801507.873
Poland,3.85E+07
Montenegro,607905.4104
Malta,507764.7164
Netherlands,1.74E+07
Belgium,1.16E+07
Austria,8917072.126
Morocco,3.66E+07
Libya,6631086.107
Tunisia,1.21E+07
Egypt,1.07E+08
Algeria,4.34E+07
Iran  (Islamic Republic of),8.70E+07
Oman,4448448.72
Kuwait,4287622.417
Lebanon,5287975.329
Qatar,2730908.579
Saudi Arabia,3.57E+07
Yemen,3.20E+07
Iraq,4.24E+07
Jordan,1.09E+07
Syrian Arab Republic,2.05E+07
Israel,8532886.328
Bahrain,1021487.72
United Arab Emirates,9131814.991
Romania,1.94E+07
Lithuania,2819619.753
Iceland,353368.0385
U.K. of Great Britain and Northern Ireland,6.66E+07
Finland,5445062.585
Italy,5.91E+07
Luxembourg,634001.254
Switzerland,8636928.324
Austria,8917135.303
Kazakhstan,1.90E+07
"Moldova, Republic of",3077947.21
Hungary,9745864.206
Ireland,4887132.653
Serbia,1.26E+07
South Sudan,1.07E+07
Sudan,4.60E+07
Cocos (Keeling) Islands,514.9812627
Christmas Island,3077.887101
Ashmore and Cartier Islands,0
Faroe Islands,108346.6413
Mayotte,317503.3584
Réunion,1022234.727
Tromelin Island,0
Juan de Nova Island,0
Glorioso Island,0
Europa Island,0
Bassas da India,0
Saint Pierre et Miquelon,8203.868974
French Southern and Antarctic Territories,0
The former Yugoslav Republic of Macedonia,2831274.782
San Marino,43411.06382
Slovenia,3028872.007
Portugal,1.27E+07
Bosnia and Herzegovina,4629353.295
Andorra,103468.2421
France,9.42E+07
Australia,5914757.027
Palau,17123.08342
Canada,3.17E+07
Canada,3250168.625
Canada,745660.8043
Mozambique,3.29E+07
Mauritius,1380030.11
Malawi,2.00E+07
Rwanda,1.31E+07
Somalia,1.66E+07
Zambia,1.95E+07
Kenya,5.21E+07
Madagascar,2.99E+07
United Republic of Tanzania,6.20E+07
Uganda,4.45E+07
Ethiopia,1.19E+08
Eritrea,3654665.211
Djibouti,1110806.57
Comoros,811892.0677
Burundi,1.22E+07
Angola,3.41E+07
Namibia,2670350.343
South Africa,6.69E+07
Botswana,2766869.54
Brazil,2.26E+08
Turkmenistan,8037530.032
Uzbekistan,4.41E+07
Tajikistan,1.22E+07
Kyrgyzstan,8512409.169
Myanmar,5.58E+07
Viet Nam,1.00E+08
Lao People's Democratic Republic,7681977.926
Brunei Darussalam,445924.1141
Philippines,1.11E+08
Timor-Leste,1309784.57
Maldives,431113.2707
Nepal,3.30E+07
Pakistan,2.59E+08
India,1.50E+09
Sri Lanka,2.18E+07
Bhutan,934111.3845
Bangladesh,1.83E+08
Afghanistan,4.73E+07
Turkey,1.06E+08
Ukraine,6.66E+07
Czech Republic,1.63E+07
Slovakia,8240933.001
Norway,1.04E+07
Sweden,1.97E+07
Latvia,3433624.218
Svalbard and Jan Mayen Islands,12706.04202
Madeira Islands,309980.279
Azores Islands,288894.065
British Indian Ocean Territory,0
Guernsey,94992.40768
Jersey,161787.6847
Isle of Man,141692.6254
Holy See,1580.181633
Greenland,74214.04035
Western Sahara,599843.231
Gaza Strip,2098928.303
West Bank,119997.9803
West Bank,3786297.42
Gibraltar,30498.65882
Saint Helena,5770.646906
Macau,526855.0198
Abyei,29759.75651
Ilemi triangle,25443.25023
Hala'ib triangle,5250.070058
Ma'tan al-Sarra,0
Paracel Islands,465.8697894
Senkaku Islands,0
Scarborough Reef,0
China/India,910.4974057
Aksai Chin,5707.084418
Spratly Islands,0
Jammu and Kashmir,2.34E+07
Arunachal Pradesh,1282109.718
Norfolk Island,2482.385475
Wallis and Futuna,11738.59967
French Polynesia,302928.9552
New Zealand,6452119.447
Australia,8470352.238
Australia,1.64E+07
Papua New Guinea,9290075.608
Vanuatu,315867.3871
Solomon Islands,675930.4747
Fiji,858337.0719
Marshall Islands,37263.84856
Nauru,11656.31002
Micronesia (Federated States of),105676.5965
Kiribati,123173.5339
Samoa,215176.6925
Tonga,110237.6209
Tuvalu,10130.87243
Canada,8067.241024
Canada,7213348.792
Canada,909414.0238
Canada,9576037.218
Canada,2259485.495
Canada,42017.8031
Canada,46190.58801
United States of America,1.14E+08
United States of America,1.41E+08
United States of America,2.53E+07
Russian Federation,2.50E+08
Cook Islands,17912.86857
Niue,2194.375327
Northern Mariana Islands,50187.18951
Wake Island,0
Jarvis Island,0
New Caledonia,305292.65
Tokelau,1494.932609
Guam,173484.5504
American Samoa,47077.44186
Kuril islands,20884.16705
Martinique,375953.5853
Guadeloupe,450120.9953
Clipperton Island,0
Dominica,72833.94899
Dominican Republic,1.16E+07
Antigua and Barbuda,96033.87103
Cuba,1.22E+07
Grenada,118480.5325
Jamaica,2959406.396
Saint Kitts and Nevis,49030.93397
Trinidad and Tobago,1541754.377
Bahamas,442535.4803
Saint Lucia,182925.352
Saint Vincent and the Grenadines,112291.8773
Barbados,287989.2563
Haiti,1.19E+07
Panama,4325964.59
El Salvador,6486100.334
Nicaragua,6925135.681
Mexico,1.35E+08
Honduras,1.04E+07
Guatemala,1.80E+07
Costa Rica,5201010.95
Belize,412059.9418
United States of America,3.06E+07
United States of America,1.17E+08
Colombia,5.13E+07
Guyana,806610.4439
Ecuador,1.76E+07
French Guiana,292276.0686
Paraguay,7315790.407
Suriname,601844.2389
Uruguay,4109240.232
Venezuela,2.89E+07
Peru,3.38E+07
Chile,2.34E+07
Bolivia,1.25E+07
Netherlands Antilles,268690.3787
Navassa Island,0
Puerto Rico,3445269.427
Palmyra Atoll,0
Midway Island,0
Kingman Reef,0
Johnston Atoll,0
Howland Island,0
Baker Island,0
Bird Island,0
Aruba,108358.0504
Pitcairn,62.67418647
Cayman Islands,71993.38419
Montserrat,4736.328997
Turks and Caicos islands,46600.78224
British Virgin Islands,31060.18193
Anguilla,16073.56484
Bermuda,53043.35362
United States Virgin Islands,104838.2999
Falkland Islands (Malvinas),5433.553216
South Georgia and the South Sandwich Islands,0
Argentina,5.38E+07
Heard Island and McDonald Islands,0
Bouvet Island,0
Antarctica,0
