country,Population2020,crs_used
Monaco,18120.63169044582,EPSG:3857
Seychelles,103157.77597897546,EPSG:3857
Zimbabwe,1.7473655067647014E7,EPSG:3857
Gabon,2280698.3390210597,EPSG:3857
Equatorial Guinea,1593243.1601905033,EPSG:3857
Chad,1.7285876704987045E7,EPSG:3857
Sao Tome and Principe,219906.8615921801,EPSG:3857
Congo,5674911.029569336,EPSG:3857
Democratic Republic of the Congo,9.3918897774679E7,EPSG:3857
Cameroon,2.674279649212214E7,EPSG:3857
Central African Republic,5404466.0211938685,EPSG:3857
Swaziland,1474837.5316021633,EPSG:3857
Togo,8506927.590388913,EPSG:3857
Sierra Leone,8402797.959286977,EPSG:3857
Senegal,1.7537655596783157E7,EPSG:3857
Nigeria,2.1344246752232826E8,EPSG:3857
Niger,2.576192187525244E7,EPSG:3857
Mauritania,4917254.288473787,EPSG:3857
Mali,2.2430863084724717E7,EPSG:3857
Liberia,5147349.094810745,EPSG:3857
Guinea-Bissau,2106578.143699411,EPSG:3857
Gambia,2753131.108293279,EPSG:3857
Guinea,1.3609961047941208E7,EPSG:3857
Ghana,3.2759610385581583E7,EPSG:3857
Cape Verde,586906.4739120706,EPSG:3857
Côte d'Ivoire,2.7188386186136715E7,EPSG:3857
Burkina Faso,2.253453454496727E7,EPSG:3857
Benin,1.290070001111351E7,EPSG:3857
Malaysia,3.2863977927133013E7,EPSG:3857
Yemen,3.427273320415769E7,EPSG:3857
Bahrain,1274998.3395396557,EPSG:3857
Honduras,1.0801749362242661E7,EPSG:3857
Suriname,609546.981910136,EPSG:3857
British Virgin Islands,33472.82579517836,EPSG:3857
Taiwan,2.34583681006363E7,EPSG:3035
Denmark,5723783.237906136,EPSG:3035
Malta,508520.23982705176,EPSG:3035
Greece,1.0028870224730879E7,EPSG:3035
Albania,2860019.2294040625,EPSG:3035
Liechtenstein,37792.064550976735,EPSG:3035
Libya,6634558.488152068,EPSG:3035
Turkmenistan,6243168.33052003,EPSG:3035
Republic of Korea,5.043069647064291E7,EPSG:3035
Dem People's Rep of Korea,2.5417703863817703E7,EPSG:3035
China,1.4149340442170491E9,EPSG:3035
Cambodia,1.618328344947104E7,EPSG:3035
Thailand,7.125863193717086E7,EPSG:3035
Indonesia,2.6583107072061455E8,EPSG:3035
Singapore,5774352.183272634,EPSG:3035
Kuwait,4286307.088986446,EPSG:3035
Lebanon,5290821.63578104,EPSG:3035
Syrian Arab Republic,2.0510596170529597E7,EPSG:3035
Georgia,3758305.3751263926,EPSG:3035
Cyprus,1232856.2082669945,EPSG:3035
Belarus,9654093.741687346,EPSG:3035
Estonia,1334119.8091248905,EPSG:3035
Hong Kong,6165438.593660298,EPSG:3035
Japan,1.2207230944006272E8,EPSG:3035
Jamaica,2800423.3508363175,EPSG:3035
El Salvador,6269286.183446892,EPSG:3035
Belize,390574.0221405532,EPSG:3035
Lesotho,2241889.758598455,EPSG:3410
Mongolia,3300956.7358364468,EPSG:3410
Bulgaria,6933439.205018944,EPSG:3410
Serbia,9018086.227288704,EPSG:3572
Croatia,4026539.7016732115,EPSG:3572
Slovenia,2102158.068769816,EPSG:3572
Portugal,9754967.63096158,EPSG:3572
Spain,4.641416410548283E7,EPSG:3572
Germany,8.335779459003045E7,EPSG:3572
Afghanistan,3.888063420582854E7,EPSG:3572
Qatar,2732580.7896143715,EPSG:3572
Saudi Arabia,3.5657351647285484E7,EPSG:3572
Iraq,4.2397212850562006E7,EPSG:3572
Jordan,1.0887195281222647E7,EPSG:3572
Azerbaijan,1.0209317820142511E7,EPSG:3572
Armenia,2801507.873376979,EPSG:3572
Poland,3.8456064471696526E7,EPSG:3572
Dominica,69563.710306169,EPSG:3572
Trinidad and Tobago,1502366.229526652,EPSG:3572
Saint Vincent and the Grenadines,107496.10261153942,EPSG:3572
Uruguay,3398289.038138091,EPSG:3572
Bolivia,1.182454379177176E7,EPSG:3572
Cayman Islands,66864.57891117578,EPSG:3572
Montenegro,607905.4103536936,EPSG:3576
Malta,507764.71635109023,EPSG:3576
Netherlands,1.7362890260024123E7,EPSG:3576
Belgium,1.1570029375547528E7,EPSG:3576
Austria,8917072.126305174,EPSG:3576
Morocco,3.659664916308548E7,EPSG:3576
Libya,6631086.10662155,EPSG:3576
Tunisia,1.214118763543066E7,EPSG:3576
Egypt,1.070308301469172E8,EPSG:3576
Algeria,4.33531379540818E7,EPSG:3576
Tajikistan,9537413.379752442,EPSG:3576
Nepal,2.9112981343990523E7,EPSG:3576
Iran  (Islamic Republic of),8.698509919744873E7,EPSG:3576
Bangladesh,1.6631318370368487E8,EPSG:3576
Oman,4448448.720019292,EPSG:3576
Kuwait,4287622.416882231,EPSG:3576
Lebanon,5287975.329149772,EPSG:3576
Qatar,2730908.5786150955,EPSG:3576
Saudi Arabia,3.567500034276813E7,EPSG:3576
Yemen,3.2028278449170906E7,EPSG:3576
Iraq,4.242556298864808E7,EPSG:3576
Jordan,1.0891879614421386E7,EPSG:3576
Syrian Arab Republic,2.0505929124987543E7,EPSG:3576
Israel,8532886.328312397,EPSG:3576
Bahrain,1021487.7198375934,EPSG:3576
United Arab Emirates,9131814.990793442,EPSG:3576
Poland,3.845998891266365E7,EPSG:3576
Romania,1.9441019038042717E7,EPSG:3576
Lithuania,2819619.753122392,EPSG:3576
Iceland,353368.0385466005,EPSG:3576
U.K. of Great Britain and Northern Ireland,6.659704179344208E7,EPSG:3576
Finland,5445062.585223411,EPSG:3576
Dominican Republic,1.0954856096684154E7,EPSG:3576
Cuba,1.1219025096983071E7,EPSG:3576
Haiti,1.1220696980092958E7,EPSG:3576
Nicaragua,6706850.807686532,EPSG:3576
Guatemala,1.7255355728245538E7,EPSG:3576
Paraguay,6578151.188338654,EPSG:3576
Puerto Rico,3252886.5652784123,EPSG:3576
Turks and Caicos islands,43747.23839215003,EPSG:3576
Egypt,1.0711888610187748E8,EPSG:3575
Bhutan,825281.499937962,EPSG:3575
Israel,8533901.997846331,EPSG:3575
Antigua and Barbuda,91301.75765523966,EPSG:3575
Saint Kitts and Nevis,46984.87581194425,EPSG:3575
Costa Rica,5086689.551264126,EPSG:3575
Peru,3.309427652876872E7,EPSG:3575
Italy,5.908083427219951E7,EPSG:3573
Luxembourg,634001.2539913992,EPSG:3573
Switzerland,8636928.32393787,EPSG:3573
Austria,8917135.303072691,EPSG:3573
Uzbekistan,3.3554380292273372E7,EPSG:3573
Kazakhstan,1.8999337125715952E7,EPSG:3573
Maldives,433024.326453611,EPSG:3573
Iran  (Islamic Republic of),8.692526288498913E7,EPSG:3573
Oman,4450166.828326536,EPSG:3573
Turkey,8.20103332054579E7,EPSG:3573
United Arab Emirates,9142352.522350116,EPSG:3573
"Moldova, Republic of",3077947.2103297547,EPSG:3573
Hungary,9745864.205607034,EPSG:3573
Ireland,4887132.6526540965,EPSG:3573
Grenada,116162.556242574,EPSG:3573
Barbados,277942.0049776137,EPSG:3573
Panama,4246551.620818347,EPSG:3573
South Sudan,1.0678301520211462E7,EPSG:4326
Sudan,4.602716678261159E7,EPSG:4326
Cocos (Keeling) Islands,514.9812626685016,EPSG:4326
Christmas Island,3077.887101181899,EPSG:4326
Ashmore and Cartier Islands,0.0,EPSG:4326
Faroe Islands,108346.64133976313,EPSG:4326
Mayotte,317503.3583978331,EPSG:4326
Réunion,1022234.7265060493,EPSG:4326
Tromelin Island,0.0,EPSG:4326
Juan de Nova Island,0.0,EPSG:4326
Glorioso Island,0.0,EPSG:4326
Europa Island,0.0,EPSG:4326
Bassas da India,0.0,EPSG:4326
Saint Pierre et Miquelon,8203.868973966688,EPSG:4326
French Southern and Antarctic Territories,0.0,EPSG:4326
The former Yugoslav Republic of Macedonia,2831274.7820985513,EPSG:4326
San Marino,43411.06381691131,EPSG:4326
Bosnia and Herzegovina,4629353.889782995,EPSG:4326
Andorra,103468.2420846885,EPSG:4326
France,9.420927251889469E7,EPSG:4326
Australia,5914757.027126459,EPSG:4326
Palau,17123.083422761876,EPSG:4326
Canada,3.1683627048264123E7,EPSG:4326
Canada,3250168.6252983753,EPSG:4326
Canada,745660.804300242,EPSG:4326
Mozambique,3.2850938497570906E7,EPSG:4326
Mauritius,1380030.1097717858,EPSG:4326
Malawi,2.0029303513812415E7,EPSG:4326
Rwanda,1.3144735632691784E7,EPSG:4326
Somalia,1.6617249161967779E7,EPSG:4326
Zambia,1.94595530708636E7,EPSG:4326
Kenya,5.2103445478007175E7,EPSG:4326
Madagascar,2.9931821597802497E7,EPSG:4326
United Republic of Tanzania,6.198206599519497E7,EPSG:4326
Uganda,4.449891439649071E7,EPSG:4326
Ethiopia,1.1868133390777388E8,EPSG:4326
Eritrea,3654665.210909375,EPSG:4326
Djibouti,1110807.7388351709,EPSG:4326
Comoros,811892.0676557967,EPSG:4326
Burundi,1.223303149336835E7,EPSG:4326
Angola,3.4100131839786716E7,EPSG:4326
Namibia,2670350.343229819,EPSG:4326
South Africa,6.693287510102798E7,EPSG:4326
Botswana,2766869.5400269767,EPSG:4326
Brazil,2.2551542523720998E8,EPSG:4326
Kyrgyzstan,8512409.169362739,EPSG:4326
Myanmar,5.575030831329212E7,EPSG:4326
Viet Nam,1.0041446951137684E8,EPSG:4326
Lao People's Democratic Republic,7681977.926018943,EPSG:4326
Brunei Darussalam,445924.1141000189,EPSG:4326
Philippines,1.1120889705258425E8,EPSG:4326
Timor-Leste,1309784.5701151735,EPSG:4326
Pakistan,2.5874828006231758E8,EPSG:4326
India,1.501921974108534E9,EPSG:4326
Sri Lanka,2.1840959267283093E7,EPSG:4326
Ukraine,6.655266915139812E7,EPSG:4326
Czech Republic,1.6325240098438095E7,EPSG:4326
Slovakia,8240933.001259536,EPSG:4326
Norway,1.0405606730164211E7,EPSG:4326
Sweden,1.966440664028751E7,EPSG:4326
Latvia,3433624.2181922,EPSG:4326
Svalbard and Jan Mayen Islands,12706.04201555252,EPSG:4326
Madeira Islands,309980.27901849797,EPSG:4326
Azores Islands,288894.0649835637,EPSG:4326
British Indian Ocean Territory,0.0,EPSG:4326
Guernsey,94992.40767640341,EPSG:4326
Jersey,161787.68466467038,EPSG:4326
Isle of Man,141692.62543166196,EPSG:4326
Holy See,1580.1816331930459,EPSG:4326
Greenland,74214.04034562719,EPSG:4326
Western Sahara,599843.230981857,EPSG:4326
Gaza Strip,2098928.303485562,EPSG:4326
West Bank,119997.98028516024,EPSG:4326
West Bank,3786297.42001454,EPSG:4326
Gibraltar,30498.658818385564,EPSG:4326
Saint Helena,5770.646905552596,EPSG:4326
Macau,526855.01983941,EPSG:4326
Abyei,29759.756509712897,EPSG:4326
Ilemi triangle,25443.250229325145,EPSG:4326
Hala'ib triangle,5250.070058252662,EPSG:4326
Ma'tan al-Sarra,0.0,EPSG:4326
Paracel Islands,465.869789423421,EPSG:4326
Senkaku Islands,0.0,EPSG:4326
Scarborough Reef,0.0,EPSG:4326
China/India,910.4974057488143,EPSG:4326
Aksai Chin,5707.084418471903,EPSG:4326
