country,Population2020_real
Afghanistan,39068979
Africa Eastern and Southern,694446100
Albania,2837849
Algeria,44042091
American Samoa,49761
Andorra,77380
Angola,33451132
Antigua and Barbuda,91846
Argentina,45191965
Armenia,2961500
Aruba,108587
Australia,25649248.00
Austria,8916864
Azerbaijan,10093121
Bahamas,395863
Bahrain,1472204
Bangladesh,166298024
Barbados,281698
Belarus,9379952
Belgium,11538604
Belize,390812
Benin,13070169
Bermuda,64382
Bhutan,770006
Bolivia,11816299
Bosnia and Herzegovina,3299349
Botswana,2365894
Brazil,208660842
British Virgin Islands,37135
Brunei Darussalam,447404
Bulgaria,6934015
Burkina Faso,21478690
Burundi,12617036
Cabo Verde,514679
Cambodia,16725474
Cameroon,26210558
Canada,38028638
Caribbean small states,3092577
Cayman Islands,68684
Central African Republic,5026628
Central Europe and the Baltics,102046650
Chad,17224679
Channel Islands,166235
Chile,19370624
China,1411100000
Colombia,50629997
Comoros,802163
Democratic Republic of the Congo,95989998
"Congo, Rep.",5752791
Costa Rica,5034320
C̫te d'Ivoire,28915449
Croatia,3914206
Cuba,11176354
Curacao,154947
Cyprus,1302247
Czechia,10697858
Denmark,5831404
Djibouti,1105188
Dominica,67573
Dominican Republic,11008300
Early-demographic dividend,3396051187
East Asia & Pacific,2369438682
East Asia & Pacific (excluding high income),2121866294
East Asia & Pacific (IDA & IBRD countries),2095759417
Ecuador,17546065
Egypt,109315124
El Salvador,6234673
Equatorial Guinea,1716468
Eritrea,3291271
Estonia,1329522
Swaziland,1192729
Ethiopia,118917671
Euro area,346922366
Europe & Central Asia,925088545.5
Europe & Central Asia (excluding high income),250655325.5
Europe & Central Asia (IDA & IBRD countries),463913014.5
European Union,447653554
Faroe Islands,52571
Fiji,914963
Finland,5529543
Fragile and conflict affected situations,996691242
France,67601110
French Polynesia,279209
Gabon,2322539
Gambia,2515733
Georgia,3722716
Germany,83160871
Ghana,31887809
Gibraltar,36173
Greece,10698599
Greenland,56367
Grenada,116341
Guam,162158
Guatemala,17357325
Guinea,13371183
Guinea-Bissau,2013255
Guyana,807481
Haiti,11243848
Heavily indebted poor countries (HIPC),847743308
High income,1389524835
Honduras,10119640
Hong Kong,7481000
Hungary,9750149
IBRD only,4879367453
Iceland,366463
IDA & IBRD total,6667541079
IDA blend,597524859
IDA only,1190648767
IDA total,1788173626
India,1402617695
Indonesia,274814866
"Iran, Islamic Republic of",87723443
Iraq,42116605
Ireland,4985382
Isle of Man,84064
Israel,9215100
Italy,59438851
Jamaica,2830739
Japan,126261000
Jordan,10865228
Kazakhstan,19482117
Kenya,52217334
Kiribati,126099
Democratic People's Republic of Korea,26136312
"Korea, Republic Of",51836239
Kosovo,1790152
Kuwait,4400267
Kyrgyzstan,6726595.5
Lao People's Democratic Republic,7346533
Late-demographic dividend,2316785460
Latin America & Caribbean,645497618
Latin America & Caribbean (excluding high income),583125825
Latin America & the Caribbean (IDA & IBRD countries),630051021
Latvia,1900449
Least developed countries: UN classification,1083636132
Lebanon,5702398
Lesotho,2235727
Liberia,5149463
Libya,7045399
Liechtenstein,38901
Lithuania,2794885
Low & middle income,6438169878
Low income,679560744
Lower middle income,2966396717
Luxembourg,630419
Macau,685400
Madagascar,28953556
Malawi,19533888
Malaysia,33889558
Maldives,502118
Mali,21713836
Malta,515332
Marshall Islands,42706
Mauritania,4600131
Mauritius,1266014
Mexico,126799054
"Micronesia, Federated States of",110916
Middle East & North Africa,482334398
Middle East & North Africa (excluding high income),418461302
Middle East & North Africa (IDA & IBRD countries),413658033
Middle income,5758609134
"Moldova, Republic of",2635130
Monaco,38050
Mongolia,3327204
Montenegro,621306
Morocco,36584208
Mozambique,30783688
Myanmar,53016522
Namibia,2728762
Nauru,11643
Nepal,28966574
Netherlands,17441500
New Caledonia,284176
New Zealand,5090200
Nicaragua,6565267
Niger,23717613
Nigeria,213996181
North America,369619953
North Macedonia,1856124
Northern Mariana Islands,47528
Norway,5379475
Not classified,
OECD members,1370013876
Oman,4522497
Other small states,13884095
Pacific island small states,2595522
Pakistan,235001746
Palau,17792
Panama,4293261
Papua New Guinea,9815746
Paraguay,6603739
Peru,32838579
Philippines,112081264
Poland,37899070
Portugal,10297081
Post-demographic dividend,1117765361
Pre-demographic dividend,998624261
Puerto Rico,3281557
Qatar,2794148
Romania,19265250
Russian Federation,145245148
Rwanda,13065837
Samoa,211944
San Marino,34770
Sao Tome and Principe,217435
Saudi Arabia,31552510
Senegal,16789219
Serbia,6899126
Seychelles,98462
Sierra Leone,7912558
Singapore,5685807
Sint Maarten (Dutch part),41008
Slovakia,5458827
